School Number,School Name,Telephone,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban/Rural,School Type,Definition,Authority,Gender of Students,KME Peak Body,Takiwā
1212,Matua School,07-5769027,office@matua.school.nz,Marcus Norrish,http://www.matua.school.nz,145 Levers Road,Matua,Tauranga,145 Levers Road,Matua,Tauranga,3110,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1213,Maungatapu School,07-5440858,office@maungatapu.school.nz,Andre Bennett,http://www.maungatapu.school.nz,164 Maungatapu Road,Maungatapu-Tauranga,Tauranga,PO Box 7041,Maungatapu,Tauranga,3148,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1214,Melville Primary School,07-8435369,busadmin@melville.school.nz,Bronwyn Haitana,http://www.melville.school.nz,101 Ohaupo Road,Melville,Hamilton,101 Ohaupo Road,Melville,Hamilton,3206,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1215,Merivale School,07-5786900,admin@merivale.school.nz,Tom Paekau,http://www.merivale.school.nz,25 Kesteven Avenue,,Tauranga,25 Kesteven Avenue,Parkvale,Tauranga,3112,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1216,Mihi School,07-3338249,secretary@mihi.school.nz,Jenna Foley,http://www.mihi.school.nz,76 Springs Road,,Reporoa,76 Springs Road RD 2,,Reporoa,3083,Rural other,Contributing,,State,Co-Educational,,Te Tai Whenua
1217,Miller Avenue School,07-8628602,office@millerave.school.nz,Derek Martin,http://www.millerave.school.nz,Miller Avenue,,Paeroa,30 Miller Avenue,,Paeroa,3600,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1218,Moanataiari School,07-8686504,office@moana.school.nz,Pam Kruger (Acting),http://www.moana.school.nz,101 Kuranui Street,Moanataiari,Thames,101 Kuranui Street,,Thames,3500,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1219,Mokoia Intermediate,07-3459071,office@mokoia.school.nz,Whaea Ally Gibbons (Acting),http://www.mokoia.school.nz,29 Brent Road,Owhata,Rotorua,PO Box 7025,Te Ngae,Rotorua,3042,Large urban area,Intermediate,,State,Co-Educational,,Te Tai Whenua
1220,Morrinsville Intermediate,07-8896629,office@mi.school.nz,Jenny Clark,http://www.mi.school.nz,Elizabeth Avenue,,Morrinsville,Elizabeth Avenue,,Morrinsville,3300,Small urban area,Intermediate,,State,Co-Educational,,Te Tai Whenua
1221,Morrinsville School,07-8897250,reception@morrinsville.school.nz,Shay Noonan,http://www.morrinsville.school.nz,Lincoln Street,,Morrinsville,Lincoln Street,,Morrinsville,3300,Small urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1222,Motumaoho School,07-8897597,office@motumaoho.school.nz,Daniel Piper,http://motumaoho.school.nz,2101 Hamilton Road,Motumaoho,Morrinsville,2101 State Highway 26 RD 2,,Morrinsville,3372,Rural other,Contributing,,State,Co-Educational,,Te Tai Whenua
1223,Mountview School,07-3788488,info@mountview.school.nz,Anna Norris,http://www.mountview.school.nz,31 Rangatira Street,,Taupo,31 Rangatira Street,,Taupo,3330,Medium urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1224,Mt Maunganui Intermediate,07-5755512,admin@mtint.school.nz,Melissa Nelson,http://www.mtint.school.nz/,Lodge Avenue,,Mount Maunganui,Lodge Avenue,,Mount Maunganui,3116,Major urban area,Intermediate,,State,Co-Educational,,Te Tai Whenua
1225,Mount Maunganui Primary School,07-5753960,admin@mtprimary.school.nz,Damien Harris,http://www.mtprimary.school.nz,Orkney Road,,Mount Maunganui,Orkney Road,,Mount Maunganui,3116,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1226,Nawton School,07-8477420,office@nawton.school.nz,Hurae White,http://www.nawton.school.nz,Livingstone Avenue,Nawton,Hamilton,Livingstone Avenue,Nawton,Hamilton,3200,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1227,Netherton School,07-8623847,principal@netherton.school.nz,Brook Hill,http://www.netherton.school.nz,7 School Road,Netherton,Paeroa,7 School Road RD 1,,Paeroa,3671,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1228,Newstead Model School,07-8565946,office@newstead.school.nz,Meg Campbell,http://www.newstead.school.nz,429 Morrinsville Road,,Newstead,429 Morrinsville Road RD 6,,Hamilton,3284,Rural other,Contributing,,State,Co-Educational,,Te Tai Whenua
1229,Ngahinapouri School,07-8252701,office@ngahinapouri.school.nz,Mark Harrop,http://www.ngahinapouri.school.nz,1185 Kakaramea Road,,Ngahinapouri,1185 Kakaramea Road RD 2,,Ohaupo,3882,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Whenua
1230,Ngakonui Valley School,07-8956181,office@nvs.school.nz,Sheranne Haugh,http://www.nvs.school.nz,826 Taringamotu Road,,Taumarunui,826 Taringamotu Road RD 4,,Taumarunui,3994,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1231,Ngakuru School,07-3332841,office@ngakuru.school.nz,Ryan Porteous,http://www.ngakuru.school.nz,913 Whirinaki Valley Road,Ngakuru,Rotorua,913 Whirinaki Valley Road RD 1,,Rotorua,3077,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1232,Te Kura o Ngāpuke,07-8956012,tari@ngapuke.school.nz,Hemi Te Wano,http://ngapukeschool.nz,2490 Taumarunui-Ngapuke Road,,Taumarunui,2490 Taumarunui-Ngapuke Road RD 4,,Taumarunui,3994,Rural other,Full Primary,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Whenua
1233,Ngaruawahia School,07-8248426,office@ngaruawahia.school.nz,Murray Borrows,http://ngaruawahia.school.nz,Galileo Street,,Ngaruawahia,PO Box 95,,Ngaruawahia,3720,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1234,Ngatea School,07-8677305,office@ngatea.school.nz,Neil Fraser,http://www.ngatea.school.nz,52 Orchard Road,,Ngatea,PO Box 69,,Ngatea,3541,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1235,Te Kura o Ngaati Hauaa,07-8273049,admin@ngatihaua.school.nz,Elaine Hinetai Kereopa,,300 Pukemoremore Road,,Cambridge,300 Pukemoremore Road RD 1,,Cambridge,3493,Rural other,Full Primary,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Whenua
1236,Ngongotaha School,07-3574531,admin@ngongotaha.school.nz,Eden Chapman,http://ngongotaha.school.nz,22 School Road,Ngongotaha,Rotorua,PO Box 195,Ngongotaha,Rotorua,3041,Small urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1237,Ngutunui School,07-8719426,principal@ngutunui.school.nz,Sharyn Gibbens,http://www.ngutunui.school.nz,400 Ngutunui Road,Puketotara,Pirongia,400 Ngutunui Road RD 6,,Te Awamutu,3876,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1238,Nukuhou North School,07-3123206,office@nukuhou.school.nz,Emma Bell,http://www.nukuhou.school.nz,1647 State Highway 2,,Whakatane,1647 State Highway 2 RD 1,,Waimana,3196,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1239,Ohaupo School,07-8236736,office@ohaupo.school.nz,Chris Rennie,http://www.ohaupo.school.nz,4010 Great South Road,,Ohaupo,4010 Ohaupo Road RD 1,,Ohaupo,3881,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1240,Ohinewai School,07-8288919,office@ohinewai.school.nz,Leah Boldero,http://www.ohinewai.school.nz,39 Ohinewai South Road,Ohinewai,Huntly,39 Ohinewai South Road RD 1,,Huntly,3771,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1241,Ōhope Beach School,07-3124617,office@ohopebeach.school.nz,Cathryn Naera,http://www.ohopebeach.school.nz,170 Pohutukawa Avenue,,Ohope Beach,170 Pohutukawa Avenue,Ohope,Ohope Beach,3121,Small urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1242,Kuranui Primary School,07-8834866,office@kuranui.school.nz,Michael Thornley,http://www.kuranui.school.nz,66 Waiomou Road,,Tirau,66 Waiomou Road RD 2,,Tirau,3485,Rural other,Contributing,,State,Co-Educational,,Te Tai Whenua
1243,Omanu School,07-5755868,office@omanu.school.nz,Matt Kennedy,http://www.omanu.school.nz,Tui Street,,Mount Maunganui,Tui Street,,Mount Maunganui,3116,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1244,Te Kura o Ōmarumutu,07-3158140,office@omarumutu.school.nz,Jonnina Temple,,141 Omarumutu Road,,Opotiki,141 Omarumutu Road RD 1,,Opotiki,3197,Rural other,Full Primary,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Whenua
1245,Ōmokoroa Point School,07-5480748,office@omokoroapoint.school.nz,Sandra Portegys,http://www.omokoroapoint.school.nz,37 Hamurana Road,,Omokoroa,37 Hamurana Road,,Omokoroa,3114,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1246,Omokoroa School,07-5480755,reception@omokoroa.school.nz,Craig Pentecost,http://www.omokoroa.school.nz,Plummers Point Road,,Whakamarama,Plummers Point Road RD 2,,Tauranga,3172,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1247,Te Wharekura o Maniapoto,07-8786884,tumuaki@maniapoto.school.nz,Denise Marshall,http://www.maniapoto.school.nz/,308 Oparure Road,,Te Kuiti,308 Oparure Road RD 5,,Te Kuiti,3985,Rural other,Composite,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Whenua
1248,Opotiki School,07-3156362,opotikiprimary@opotiki.school.nz,Tony Howe,https://www.opotiki.school.nz/,80-88 Church Street,,Opotiki,Church Street,,Opotiki,3122,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1249,Ōpoutere School,07-8659077,office@opoutereschool.net,Jethro Dyer,http://www.opoutereschool.net,1203 Tairua Road,,Whangamata,1203 Tairua Road RD 1,,Whangamata,3691,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1250,Orini Combined School,07-8244847,office@orini.school.nz,Annette Howard,http://www.orini.school.nz,1389 Orini Road,,Taupiri,1389 Orini Road RD 2,,Taupiri,3792,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1251,Oropi School,07-5431479,office@oropi.school.nz,Andrew King,http://www.oropi.school.nz,Oropi Road,Oropi,Tauranga,1334 Oropi Road RD 3,,Tauranga,3173,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1252,Otakiri School,07-3048101,office@otakiri.school.nz,Richard Gillespie,http://www.otakiri.school.nz,571 Otakiri Road,,Whakatane,571 Otakiri Road RD 3,,Whakatane,3193,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1253,Otamarakau School,07-5333783,office@otamarakau.school.nz,Aneta Smith,http://www.otamarakau.school.nz/,2216 Old Coach Road,,Te Puke,2216 Old Coach Road RD 6,,Te Puke,3186,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1254,TKKM o Otepou,07-5442525,otepoutumuaki@xtra.co.nz,Reg Blake,http://www.otepou.school.nz/,759 Welcome Bay Road,Tauranga Central,Tauranga,759 Welcome Bay Road,Welcome Bay,Tauranga,3112,Major urban area,Full Primary,,State,Co-Educational,Te Rūnanga nui o ngā Kura Kaupapa Māori o Aotearoa,Te Tai Whenua
1255,Ōtewā School,07-8730859,office@otewa.school.nz,Carolyn Pilton,https://www.otewaschool.com/,916 Otewa Road,,Otorohanga,916 Otewa Road RD 5,,Otorohanga,3975,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1256,Otonga Road School,07-3486443,otonga@otonga.school.nz,Gareth Cunliffe,http://www.otonga.school.nz,105 Otonga Road,Springfield,Rotorua,105 Otonga Road,Springfield,Rotorua,3015,Large urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1257,Ōtorohanga School,07-8737334,office@oto.school.nz,Catriona Chrystall,http://www.otoprimary.school.nz,95 Phillips Avenue,,Otorohanga,PO Box 137,,Otorohanga,3940,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1258,Otorohanga South School,07-8738530,accounts@otosouth.school.nz,Scott Lincoln,http://www.otosouth.school.nz,Rangipare Street,,Otorohanga,2 Rangipare Street,,Otorohanga,3900,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1259,Ōtūmoetai Intermediate,07-5765105,admin@otuinter.school.nz,Blake Carlin,http://www.otuinter.school.nz,5 Charles Street,Otumoetai,Tauranga,5 Charles Street,Bellevue,Tauranga,3110,Major urban area,Intermediate,,State,Co-Educational,,Te Tai Whenua
1260,Ōtūmoetai Primary School,07-5766751,office@ops.school.nz,Zara McIndoe,http://www.ops.school.nz,236 Otumoetai Road,Otumoetai,Tauranga,PO Box 6046,Brookfield,Tauranga,3146,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1261,St Mary's Catholic School (Otorohanga),07-8738801,office@stmary-oto.school.nz,Deidre Gray-Edwards,,38 Hinewai Street,,Otorohanga,38 Hinewai Street,,Otorohanga,3900,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1262,Owhata School,07-3456051,owhata@owhata.school.nz,Robert Stiles,http://www.owhata.school.nz,31 Brent Road,Owhata,Rotorua,Brent Road,Owhata,Rotorua,3010,Large urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1263,Paengaroa School,07-5331227,office@paengaroa.school.nz,Bruce Lendrem,http://www.paengaroa.school.nz,33 Old Coach Road,,Paengaroa,33 Old Coach Road RD 9,,Te Puke,3189,Rural settlement,Contributing,,State,Co-Educational,,Te Tai Whenua
1264,Paeroa Central School,07-8628342,admin@paeroacentral.school.nz,Mona Hingston,,Wood Street,,Paeroa,Wood Street,,Paeroa,3600,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1265,Pahoia School,07-5480723,office@pahoia.school.nz,Sheena Saunders,http://www.pahoia.school.nz,29 Esdaile Road,,Tauranga,29 Esdaile Road RD 8,,Tauranga,3180,Rural other,Contributing,,State,Co-Educational,,Te Tai Whenua
1266,Pāpāmoa Primary School,07-5420865,admin@papamoa.school.nz,Matthew Simeon,http://www.papamoa.school.nz,312 Dickson Road,,Papamoa,312 Dickson Road,Papamoa Beach,Papamoa,3118,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1267,Pārāwai School,07-8688117,administration@parawai.school.nz,Jordan Palfrey,http://www.parawai.school.nz,106 Lowe Avenue,Parawai,Thames,106 Lowe Avenue,,Thames,3500,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1268,Te Kura o Te Paroa,07-3086652,office@paroa.school.nz,Erin Te Pou,http://www.paroa.school.nz,34 Paroa Road,,Whakatane,34 Paroa Road RD 1,,Whakatane,3191,Medium urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1269,Paterangi School,07-8715203,office@paterangi.school.nz,Carol-Lynn Hill,http://www.paterangi.school.nz,1326 Paterangi Road,Paterangi,Ohaupo,1326 Paterangi Road RD 3,,Ohaupo,3883,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1270,Patricia Avenue School,07-8569350,office@patave.school.nz,Andrea Neil,http://www.patave.school.nz,20 Patricia Avenue,Hamilton East,Hamilton,PO Box 506,Waikato Mail Centre,Hamilton,3240,Major urban area,Specialist School,Day Specialist,State,Co-Educational,,Te Tai Whenua
1271,Peachgrove Intermediate,07-8557596,office@peachgrove.school.nz,Aaron West,http://www.peachgrove.school.nz/,72 Peachgrove Road,Hamilton East,Hamilton,PO Box 1344,Waikato Mail Centre,Hamilton,3240,Major urban area,Intermediate,,State,Co-Educational,,Te Tai Whenua
1272,Pekapekarau School,07-8716025,principal@pekapekarau.school.nz,Tania Bagley,http://www.pekapekarau.school.nz,742 Te Rahu Road,,Te Awamutu,PO Box 233,,Te Awamutu,3840,Medium urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1273,Pillans Point School,07-5769407,office@pillanspoint.school.nz,Jacq Price,http://www.pillanspoint.school.nz,101 Maxwells Road,Pillans Point,Tauranga,101 Maxwells Road,Otumoetai,Tauranga,3110,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1274,Piopio Primary School,07-8778103,office@ppp.school.nz,Sue Coyle,http://www.schoolground.co.nz/piopioprim,14 Aria Road,,Piopio,14 Aria Road,,Piopio,3912,Rural settlement,Contributing,,State,Co-Educational,,Te Tai Whenua
1275,Piripiri School,07-8767522,office@piripiri.school.nz,Anna Maikuku,http://www.piripiri.school.nz,2703 Te Anga Road,,Te Kuiti,2703 Te Anga Road RD 8,,Te Kuiti,3988,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1276,Pirongia School,07-8719727,office@pirongia.school.nz,Kelly Bicknell,http://www.pirongia.school.nz,100 Beechey Street,,Pirongia,PO Box 34020,,Pirongia,3844,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1277,Pokuru School,07-8712844,office@pokuru.school.nz,Vicki Robinson,http://www.pokuru.school.nz,873/2 Pokuru Road,,Pokuru,PO Box 246,Te Awamutu,Pokuru,3840,Rural other,Contributing,,State,Co-Educational,,Te Tai Whenua
1278,Pongakawa School,07-5333731,office@pongakawa.school.nz,Michael Cunliffe,http://www.pongakawa.school.nz,956 Old Coach Road,,Pongakawa,956 Old Coach Road RD 6,,Te Puke,3186,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1279,Puahue School,07-8721838,office@puahue.school.nz,Scott Wilson,http://www.puahue.school.nz,573 Puahue Road,,Te Awamutu,573 Puahue Road RD 1,,Te Awamutu,3879,Rural other,Contributing,,State,Co-Educational,,Te Tai Whenua
1280,Pukeatua School,07-8724862,office@pukeatuaschool.co.nz,Dene Franklin,http://www.pukeatuaschool.co.nz,2110 Arapuni Road,,Pukeatua,2110 Arapuni Road RD 1,,Pukeatua,3880,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1281,Pukehina School,07-5333869,office@pukehina.school.nz,Indra Thomas,http://pukehina.school.nz,1762 Old Coach Road,,Pukehina,1762 Old Coach Road RD 6,,Te Puke,3186,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1282,Pukenui School (Te Kuiti),07-8787727,office@pukenui.school.nz,Dorothy Carr,http://www.pukenui.school.nz,King Street West,,Te Kuiti,King Street West,,Te Kuiti,3910,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1283,Puketaha School,07-824 3870,office@puketaha.school.nz,Nyree Olliver,http://www.puketaha.school.nz/,395 Puketaha Road,Puketaha,Hamilton,395 Puketaha Road RD 1,,Hamilton,3281,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1284,Pukete School,07-8494352,office@pukete.school.nz,Marie Hartley,http://www.puketeschool.co.nz,Pukete Road,Pukete,Hamilton,Pukete Road,Pukete,Hamilton,3200,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1285,Puriri School,07-8681031,office@puriri.school.nz,Lydia Lester,http://puririschool.com,Puriri Valley Road,,Thames,16 Puriri Valley Road RD 1,,Thames,3578,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Whenua
1286,Te Puru School,07-8682747,office@tepuru.school.nz,Karla Hull,http://www.tepuru.school.nz,507 Thames Coast Road,,Te Puru,507 Thames Coast Road RD 5,,Thames,3575,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Whenua
1287,Pyes Pa Road School,07-5430064,administration@pyespa.school.nz,David Plane (Acting),http://www.pyespa.school.nz,978 Pyes Pa Road,,Pyes Pa,978 Pyes Pa Road RD 3,,Tauranga,3173,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1288,Te Wharekura o Rākaumangamanga,07-8289013,judi@rakaumanga.school.nz,John Heremia,http://www.rakaumanga.school.nz,26 Mcdiarmid Crescent,,Huntly,26 Mcdiarmid Crescent,,Huntly,3700,Small urban area,Composite,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Whenua
1289,Te Kura o Rangiriri,07-8263654,tari@rangiririkura.school.nz,Melissa Kani,,39 Rangiriri Road,,Rangiriri,39 Rangiriri Road RD 2,,Te Kauwhata,3782,Rural other,Full Primary,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Whenua
1290,Rangitoto School,07-8788460,office@rangi.school.nz,Heather Dallas,http://www.rangi.school.nz/,949 Rangitoto Road,,Rangitoto,949 Rangitoto Road RD 2,,Te Kuiti,3982,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1291,Rangiuru School,07-5737035,rangiuru@rangiuru.school.nz,Hannah Mortimore,http://www.rangiuruschool.co.nz,659 Rangiuru Road,,Te Puke,659 Rangiuru Road RD 8,,Te Puke,3188,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1292,Reporoa School,07-3338350,office@rep.school.nz,Nikkole Fell,http://www.rep.school.nz,34 Massey Road,,Reporoa,PO Box 2,,Reporoa,3060,Rural other,Contributing,,State,Co-Educational,,Te Tai Whenua
1293,Rhode Street School,07-8477245,winnie@rhodestreet.school.nz,Jarrod Ngatuere-King,http://www.rhodestreet.school.nz,Rhode Street,Dinsdale,Hamilton,PO Box 15231,Dinsdale,Hamilton,3243,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1294,Roto-O-Rangi School,07-8271727,office@rotoorangi.school.nz,Wayne Donnellon,http://www.rotoorangi.school.nz,5 Kairangi Road,,Cambridge,5 Kairangi Road RD 3,,Cambridge,3495,Rural other,Contributing,,State,Co-Educational,,Te Tai Whenua
1295,TKKM o Rotoiti,07-3627718,tari@rotoiti.school.nz,Para Meha,,1620 State Highway 30,,Rotorua,1620 State Highway 30 RD 4,,Rotorua,3074,Rural settlement,Full Primary,,State,Co-Educational,Te Rūnanga nui o ngā Kura Kaupapa Māori o Aotearoa,Te Tai Whenua
1296,Rotokauri School,07-8495068,sverstraten@rotokauri.school.nz,Desiree Smith,http://www.rotokauri.school.nz,462 Rotokauri Road,,Hamilton,462 Rotokauri Road RD 9,,Hamilton,3289,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1297,Rotokawa School,07-3456129,admin@rotokawa.school.nz,Regan Williams,http://www.rotokawa.school.nz,6 Rotokawa Road,,Rotorua,6 Rotokawa Road RD 4,,Rotorua,3074,Large urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1298,Rotorua Intermediate,07-3489888,reception@rotorua-intermediate.org.nz,Garry De Thierry,http://www.rotorua-intermediate.org.nz,83-95 Malfroy Road,,Rotorua,83 Malfroy Road,Victoria,Rotorua,3010,Large urban area,Intermediate,,State,Co-Educational,,Te Tai Whenua
1299,Rotorua School,07-3488159,office@rp.school.nz,Fred Whata,http://www.rp.school.nz,1249 Arawa Street,Rotorua Central,Rotorua,PO Box 673,,Rotorua,3040,Large urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1300,Ficino School,09-6233385,office@ficino.school.nz,Peter Crompton,http://www.ficino.school.nz,27 Esplanade Road,Mount Eden,Auckland,Ficino School 27 Esplanade Road,,Auckland,1024,Major urban area,Full Primary,,Private : Fully Registered,Co-Educational,,Te Tai Raro
1301,Ruawaro Combined School,07-8266706,admin@ruawaro.school.nz,Karyn McInally (Acting),,76 Bain Road,,Huntly,76 Bain Road RD 2,,Huntly,3772,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1302,Rukuhia School,07-8436967,office@rukuhia.school.nz,Kevin Drury,http://www.rukuhia.school.nz,58 Rukuhia Road,,Ohaupo,58 Rukuhia Road RD 2,,Ohaupo,3882,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Whenua
1303,Selwyn School,07-3484687,admin@selwynschool.school.nz,Peter Barker,http://www.selwynschool.school.nz,Old Quarry Road,,Rotorua,PO Box 10063,Rotorua Mail Centre,Rotorua,3046,Large urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1304,Silverdale Normal School,07-8567604,office@silverdale.school.nz,Michael Harrop,http://www.silverdale.school.nz,62 Silverdale Road,Hillcrest,Hamilton,62 Silverdale Road,Silverdale,Hamilton,3216,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1305,Springdale School,07-8872644,admin@springdale.school.nz,Michaela Webb,https://www.springdale.school.nz,985 No 1 Road,,Waitoa,985 No 1 Road RD 1,,Waitoa,3380,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1306,St Andrews Middle School,07-8492819,office@standrewsmiddle.school.nz,Casey-lee Bell,https://www.standrewsmiddle.school.nz/,Heath Street,Te Rapa,Hamilton,PO Box 10177,Te Rapa,Hamilton,3241,Major urban area,Restricted Composite (Year 7-10),,State,Co-Educational,,Te Tai Whenua
1307,St Anthony's Catholic School (Huntly),07-8288516,,Peta-Maree Parsonage (Acting),http://www.stanthonys.school.nz,102 Bailey Street,,Huntly,PO Box 226,,Huntly,3740,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1308,St Columba's Catholic School (Frankton),07-8479322,admin@sccs.school.nz,Gareth Duncan,http://www.stcolumbas.school.nz,50 Rifle Range Road,Frankton,Hamilton,PO Box 5353,Frankton,Hamilton,3242,Major urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1309,St Francis School (Thames),07-8687655,office@stfrancis-thames.school.nz,Christian Ioka,http://www.stfrancis-thames.school.nz,202 Mackay Street,,Thames,PO Box 709,,Thames,3540,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1310,St Joseph's Catholic School (Fairfield),07-8555434,admin@stjosephs.school.nz,Grant Stuart,http://www.stjosephs.school.nz,88 Clarkin Road,Fairfield,Hamilton,PO Box 957,Waikato Mail Centre,Hamilton,3240,Major urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1311,St Joseph's Catholic School (Matamata),07-8888415,office@stjmta.school.nz,Yvonne Marshall (Acting),https://www.stjmta.school.nz/,Hohaia Street,,Matamata,PO Box 305,,Matamata,3440,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1312,St Joseph's Catholic School (Matata),07-3222095,admin@saintjosmatata.school.nz,Bridget Rika,http://www.saintjosmatata.school.nz/,18 Wilson Street,,Matata,18 Wilson Street RD 4,,Whakatane,3194,Rural settlement,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1313,St Joseph's Catholic School (Morrinsville),07-8895306,admin@stjoes.school.nz,Andrea Devane,http://www.stjoes.school.nz/,11 Linden Street,,Morrinsville,11 Linden Street,,Morrinsville,3300,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1314,St Joseph's Catholic School (Opotiki),07-3156066,admin@stjosopo.school.nz,Mercia Tawera-Thomas,http://www.stjosopo.school.nz,Grey Street,,Opotiki,Grey Street,,Opotiki,3122,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1315,St Joseph's Catholic School (Paeroa),07-8628994,office@stjpaeroa.school.nz,Emalene Cull,http://www.paeroa-stjosephs.school.nz,200 Normanby Road,,Paeroa,200 Normanby Road,,Paeroa,3600,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1316,St Joseph's Catholic School (Te Aroha),07-8849480,office@stjosephs-tearoha.school.nz,Julie Bennett,http://www.stjosephs-tearoha.school.nz,41 Koromiko Street,,Te Aroha,41 Koromiko Street,,Te Aroha,3320,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
