Sr No,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),County Description,Email,Phone No.,Principal Name,Local Authority Description,Ethos Description,Female,Male,Total
1594,S N DUN UABHAIR,Donore,Drogheda,Co. Meath,Meath,donorenat.sch@gmail.com,0419880118,Ruth Browne,Meath County Council,Catholic,73,93,166
1595,S N AINDREIS NAOFA,Curragha,Ashbourne,Co. Meath,Meath,office@standrewscurragha.com,018351528,Catherine O'Connor,Meath County Council,Catholic,51,56,107
1596,S N COILL AN IARAINN,Kilanerin,Gorey,Co. Wexford,Wexford,office@kilanerinns.ie,040237405,Mary C Byrne,Wexford County Council,Catholic,116,102,218
1597,SCOIL IARLATHA NAOFA,Garbally,Ballinasloe,Co. Galway,Galway,garballynationalschool@gmail.com,0909684663,Carmel Hoade,Galway County Council,Catholic,21,32,53
1598,SCOIL IOGNAID DE RIS,Stephen Street,Kilkenny,,Kilkenny,principal@cbsprimarykilkenny.ie,0567761739,Niall Bergin,Kilkenny County Council,Catholic,35,243,278
1599,SCOIL FREASTOGAIL MUIRE,College Road,Fermoy,Co. Cork,Cork,office@presfermoy.ie,02531550,Leona O Connell,Cork County Council,Catholic,163,73,236
1600,S N CIARAIN NAOFA,Doorus,Kinvara,Co. Galway,Galway,cosdoorus@gmail.com,091638645,Martina Tarpey,Galway County Council,Catholic,40,27,67
1601,SCOIL BHREANDAIN NAOFA,CLUAIN FHEARTA,BEAL ATHA NA SLUAIGH,CO NA GAILLIMHE,Galway,clonfertns17@gmail.com,0909675008,Ms. Nicola Kilmartin,Galway County Council,Catholic,25,28,53
1602,SCOIL CILL CHURNAIN,Kilcornan,Co. Limerick,,Limerick,secretary@kilcornanns.ie,061393304,Shirley Balfry,Limerick County Council,Catholic,88,86,174
1603,ST CONLETHS AND MARYS N S,Newbridge,Co. Kildare,,Kildare,office@stconlethandmarys.ie,045431179,Aisling Romano,Kildare County Council,Catholic,168,177,345
1604,S N CONNLAODH NAOFA N,Naas Road,Newbridge,Co. Kildare,Kildare,office@stconlethinfantschool.ie,045431050,Anne-Marie O'Connor,Kildare County Council,Catholic,134,151,285
1605,GLENCORRIB N S,Ballisnahyny,Shrule,Co. Mayo,Mayo,glencorribns@gmail.com,09331415,Orna Friel,Mayo County Council,Catholic,26,26,52
1606,Scoil Mhuire Naofa,Menlough,Ballinasloe,Co. Galway,Galway,info@menloughns.com,0909684004,Brenda Gavin,Galway County Council,Catholic,53,53,106
1607,SCOIL UI CHONAILL BOYS SENIORS,North Richmond Street,Dublin 1,,Dublin,secretary@oconnellprimary.ie,018557517,Ciara Naughton,Dublin City Council,Catholic,,155,155
1608,S N AODHA NAOFA,Rahugh,Kilbeggan,,Westmeath,info@rahughns.com,0449223584,ANNETTE LYNAM,Westmeath County Council,Catholic,22,5,27
1609,Scoil Mhuire Naofa Castlecuffe,CASTLECUFFE NS,CLONASLEE,CO LAOIS,Laois,info@castlecuffens.com,0578648238,BRIGID DUNNE,Laois County Council,Catholic,29,24,53
1610,S N NAOMH PADRAIG BOYS SENIOR SCHOOL,New Road,Mallow,,Cork,admin@stpatsmallow.ie,02222368,Mr. Kieran Lynch,Cork County Council,Catholic,,212,212
1611,SCOIL MHUIRE,Tower Road,Chapelizod,Dublin 20,Dublin,office@scoilmhuiremountsackville.com,018213105,Orlaith Gallagher,Fingal County Council,Catholic,165,1,166
1612,SANCTA MARIA C B S,Synge Street,Dublin 8,,Dublin,principal@bunscoilsynge.ie,014784316,Victoria McQuaid,Dublin City Council,Catholic,40,63,103
1613,SCOIL CARMEL,Firhouse Road,Dublin 24,,Dublin,scoilcarmelns@gmail.com,014514151,Irene Quinn,South Dublin County Council,Catholic,166,147,313
1614,Corr na Madadh N S,Cornamaddy,Athlone,Co. Westmeath,Westmeath,cornamaddycns@lwetb.ie,0906478360,Yvonne Naughton,Westmeath County Council,Multi Denominational,157,149,306
1615,S N BRUSNA,Brusna,Ballaghadereen,Co. Roscommon,Roscommon,principal@brusnans.ie,0949860009,Avril Byrne,Roscommon County Council,Catholic,28,38,66
1616,S N TOBAIR EOIN BAISDE,JOHNSWELL,CO KILKENNY,,Kilkenny,principal@johnswellns.ie,0567759895,Patricia Walker,Kilkenny County Council,Catholic,15,30,45
1617,CROSSBRIDGE N S,CROSSBRIDGE,TINAHELY,CO WICKLOW,Wicklow,crossbridgens21@gmail.com,040238523,Elaine Byrne,Wicklow County Council,Catholic,15,30,45
1618,COLMCILLE MIXED N S,Bigwood,Mullinavat,Co. Waterford,Kilkenny,stcolmcillesschool@gmail.com,051885525,St. Colmcilles School,Kilkenny County Council,Catholic,9,11,20
1619,S N EOIN BOSCO BUACH,Navan Road,Dublin 7,,Dublin,info@stjohnboscosbs.ie,018380371,Emmanuel Bourke,Dublin City Council,Catholic,,290,290
1620,S N MHUIRE,Barntown,Co. Wexford,,Wexford,info@barntownns.ie,0539120376,Nicola Roche,Wexford County Council,Catholic,156,180,336
1621,ST OLIVER PLUNKETT,Grove Road,Malahide,Co. Dublin,Dublin,office@stops.ie,018452052,Valerie Keogh,Fingal County Council,Catholic,401,437,838
1622,FREASTOGAIL MHUIRE MXD,Killahan,Abbeydorney,Tralee,Kerry,killahanprimary@gmail.com,0667135925,Bríd Leonard,Kerry County Council,Catholic,22,30,52
1623,AIBHISTIN NAOFA,Clontuskert,Ballinasloe,Co. Galway,Galway,Office@clonns.ie,0909643762,Kate Murray,Galway County Council,Catholic,35,45,80
1624,DONARD N S,Barrack Street,Donard,Co. Wicklow,Wicklow,donardnswicklow@gmail.com,045404884,Peter Kelly,Wicklow County Council,Catholic,83,105,188
1625,S N Moing na Miol,Clashbee,Mallow,Co. Cork,Cork,bweengns@gmail.com,0217333163,Catherine Buckley,Cork County Council,Catholic,60,53,113
1626,S N BEAL AN MHUIRTHEAD,School Road,Belmullet,Co. Mayo,Mayo,belmulletjns@gmail.com,09782045,Claire O'Boyle,Mayo County Council,Catholic,30,28,58
1627,SN N SAILBHEASTAR NFA,Yellow Walls Road,Malahide,Co Dublin,Dublin,stsylvesters@gmail.com,018450061,Sharon Dunne,Fingal County Council,Catholic,187,179,366
1628,S N SEACHNAILL NAOFA,Main Street,Dunshaughlin,Co. Meath,Meath,info@stseachnalls.ie,018259679,Ciara Whelan,Meath County Council,Catholic,278,344,622
1629,S N BRIGHDE,Ticknevin,Carbury,Co. Kildare,Kildare,office@ticknevinns.ie,0469553521,Nora Lynch,Kildare County Council,Catholic,23,37,60
1630,ODHRAN NAOFA N S,SONNA,SLANEMORE,MULLINGAR,Westmeath,daithifee@yahoo.co.uk,0449373323,DAITHI O FIAICH,Westmeath County Council,Catholic,52,43,95
1631,SCOIL BHRIDE,AN CNOC BHREAC,BEAL ATHA NA SLUAIGH,CO NA GAILLIMHE,Galway,info@newinnns.com,0909675706,DIARMAID BURNS,Galway County Council,Catholic,41,65,106
1632,SN EOIN BAISDE BOYS SENIOR SCHOOL,Seafield Road,Clontarf,Dublin 3,Dublin,info@belgroveseniorboys.ie,018331852,Conor Ryan,Dublin City Council,Catholic,,317,317
1633,SCOIL MOIN A LIN,Castletroy,Co. Limerick,,Limerick,office@monaleenns.ie,061336048,Ian Madigan,Limerick County Council,Catholic,393,454,847
1634,S N na mBuachailli,Clonbealy,Newport,Co. Tipperary,Tipperary,newportbs.ias@eircom.net,061378700,Marie Whelan Cremin,Tipperary (Nr) County Council,Catholic,,135,135
1635,SCOIL NAOMH CHAITRIONA,College Street,Ballyshannon,Co. Donegal,Donegal,officescoilchaitriona@gmail.com,0719851062,Aoife Coen,Donegal County Council,Catholic,30,47,77
1636,SCOIL NAIS NAOMH AINE,Maio,Tierworker,Kells,Meath,stannesmaions@gmail.com,0469242325,Nicola Curtis (Principal),Meath County Council,Catholic,4,8,12
1637,SCOIL NAOMH BRIDE,Batterstown,Trim,Co. Meath,Meath,boardsmillns@gmail.com,0469546358,James Battersby,Meath County Council,Catholic,83,98,181
1638,SHANAGARRY N S,SHANAGARRY,MIDLETON,CO CORK,Cork,shanagarryns@gmail.com,0214646238,Orla Burke,Cork County Council,Catholic,46,56,102
1639,COURTENAY NATIONAL SCHOOL,Gortboy,Newcastle West,Co. Limerick,Limerick,info@courtenayschool.ie,06962638,Laura Horgan,Limerick County Council,Catholic,13,238,251
1640,S N NAOMH FHIONAIN,Dillonstown,Dunleer,Co. Louth,Louth,principal@stfiniansdillonstown.ie,0416851725,Elaine Stanley,Louth County Council,Catholic,52,48,100
1641,S N BHAILE EAMONN,Edmondstown Road,Rathfarnham,Dublin 16,Dublin,edmondstownns@hotmail.com,014933255,Philomena Cleary,South Dublin County Council,Catholic,33,42,75
1642,"Oatlands Primary School, An Edmund Rice School",Mount Merrion,Blackrock,Co. Dublin,Dublin,office@oatlandsprimaryschool.ie,012887108,Siobhán McDonagh,Dun Laoghaire Rathdown,Catholic,143,285,428
1643,"Scoil Mhuire gan Smál, Clondulane",CLONDULANE,FERMOY,CO CORK,Cork,info@clondulanens.org,02532863,James O'Sullivan,Cork County Council,Catholic,40,40,80
1644,SCOIL CHOLMCILLE NAOFA,Ballylast,Castlefin,Co. Donegal,Donegal,ballylastns1@gmail.com,0749141341,Jacinta Walsh,Donegal County Council,Catholic,10,7,17
1645,HOLY FAMILY JUNIOR SCHOOL,Station Road,Ennis,Co. Clare,Clare,office@hfjs.ie,0656829808,Miriam Lowe,Clare County Council,Catholic,67,100,167
1646,S N LUSCA,Chapel Road,Lusk,Co. Dublin,Dublin,office@lusksns.ie,018437738,Paul Comiskey,Fingal County Council,Catholic,212,201,413
1647,S N MHUIRE NAOFA,Rathfeigh,Tara,Co. Meath,Meath,rathfeighns@outlook.com,0419825156,James Tansley,Meath County Council,Catholic,39,42,81
1648,S N BHRIDE,ARD ACHAIDH,OMEATH,DUNDALK,Louth,info@snbridardaghy.ie,0429375232,Elizabeth Finegan,Louth County Council,Catholic,45,22,67
1649,URSAILLE NAOFA,Stephenstown South,Two Mile House,Naas,Kildare,office@twomilehouseschool.ie,045871200,Adrian O'Connor,Kildare County Council,Catholic,113,123,236
1650,S N MHUIRE,Abbey Road,Navan,Co. Meath,Meath,scoilmhuirenavan@gmail.com,0469021483,Fiona Hayden,Meath County Council,Catholic,101,104,205
1651,OUR LADY OF MERCY CONVENT SCHOOL,Rosemount Terrace,Booterstown,Co. Dublin,Dublin,ourladyofmercyoffice@gmail.com,012884223,John O'Boyle,Dun Laoghaire Rathdown,Catholic,247,,247
1652,S N CILL MHUIRE B,Lisardagh,Co. Cork,,Cork,pcollier@kilmurrynationalschool.ie,0217336324,Patricia Long Collier,Cork County Council,Catholic,78,91,169
1653,SCOIL ASSAIM BOYS SENIORS,Raheny,Dublin 5,,Dublin,kevingillen@scoilassaimbns.com,018314044,Kevin Gillen,Dublin City Council,Catholic,1,292,293
1654,SCOIL AINE CONVENT SENIOR,All Saints Drive,Raheny,Dublin 5,Dublin,office@scoilaineraheny.ie,018319463,Niamh Cuthbert,Dublin City Council,Catholic,300,1,301
1655,NAISCOIL IDE,All Saints Drive,Raheny,Dublin 5,Dublin,naiscoilide@gmail.com,018317688,Nora Mescal,Dublin City Council,Catholic,137,162,299
1656,S N CNOC AINBHIL,Lower Kilmacud Road,Stillorgan,Co. Dublin,Dublin,secretary@mountanvilleprimaryschool.com,012831148,Angela Munro,Dun Laoghaire Rathdown,Catholic,434,,434
1657,SCOIL MHUIRE,Ardeevin,Williamstown,Co. Galway,Galway,ardeevinschool@outlook.ie,0949659333,Padraig Carney,Galway County Council,Catholic,21,27,48
1658,S N Gleann gCreabhar,Anglesborough,Kilmallock,Co Limerick,Limerick,anglesborons@gmail.com,0830924796,Mr Sean Kearney,Limerick County Council,Catholic,17,33,50
1659,S N NMH SHEOSAMH,Boyerstown,Navan,Co. Meath,Meath,boyerstownns@gmail.com,0469027252,Cathal O'Bric,Meath County Council,Catholic,70,66,136
1660,S N DROM CNAMH,Drumcrave,Co. Cavan,,Cavan,drumcravens@yahoo.ie,0494361496,Olivia Brady,Cavan County Council,Catholic,28,19,47
1661,EOIN NAOFA N S,High Street,Ballymore,Co. Westmeath,Westmeath,reception@eoinnaofans.ie,0449356537,Declan Claffey,Westmeath County Council,Catholic,45,55,100
1662,SCOIL MHUIRE GAN SMAL B,School Avenue,Glasheen Road,Cork,Cork,office@glasheenboys.com,0214544750,Tim O'Neill,Cork City Council,Catholic,,403,403
1663,S N FHOIRTCHEIRN/FHININ,Myshall,Bagenalstown,Co. Carlow,Carlow,info@myshallns.ie,0599157750,Mairead Cashin,Carlow County Council,Catholic,55,51,106
1664,S N OILIBHEAR PLUNGLEAD,Killina,Carbury,Co. Kildare,Kildare,office@killinans.com,0469553522,Ian Corbett,Kildare County Council,Catholic,47,41,88
1665,Glen na Smol N S,Glenasmole,Bohernabreena,Dublin 24,Dublin,office@glenasmolens.com,014624143,Rachel Brennan,South Dublin County Council,Catholic,29,27,56
1666,ST MARYS N S GRANGE,Ballybrusa,Grange,via Youghal,Waterford,office@stmarysgrange.ie,02494583,Julie Harty,Waterford County Council,Catholic,28,32,60
1667,Scoil Mhuire Naofa,Carrigtwohill,Co. Cork,,Cork,office@carrigtwohill.com,0214883271,Annemarie Moylan,Cork County Council,Catholic,156,240,396
1668,S N NAOMH LORCAN,OMEATH,DUNDALK,CO LOUTH,Louth,scoilnaomhlorcan@gmail.com,0429375362,Ronan Mac Grianna,Louth County Council,Catholic,32,37,69
1669,DRUMGALLAGH N S,Ballycroy,Westport,Co. Mayo,Mayo,snpdrumgallagh@gmail.com,09849147,Maura Kilbane,Mayo County Council,Catholic,19,14,33
1670,S N ATHRACHT NFA,Lowpark,Charlestown,Co. Mayo,Mayo,office@stattractasns.ie,0949254905,Brian McDermott,Mayo County Council,Catholic,128,140,268
1671,SCOIL MHUIRE GAN SMAL,Feevagh,Dysart,Co. Roscommon,Roscommon,info@feevaghns.ie,0906622200,Martina Murray,Roscommon County Council,Catholic,7,6,13
1672,S N OLIBHEAR PLUINCEID,Rann na Feirsde,Anagaire,Co. Dhún na nGall,Donegal,scoilrannnafeirsde@yahoo.com,0749548318,Pól Ó Ruiséil,Donegal County Council,Catholic,23,38,61
1673,Davidstown Primary School,Davidstown Primary School,Enniscorthy,Co Wexford,Wexford,info@davidstownps.ie,0539234745,Ita Connolly,Wexford County Council,Catholic,55,37,92
1674,S N CRUACHAIN,Carrowmore,Croghan,via Boyle,Roscommon,garykelleher8@gmail.com,0719668366,Gary Kelleher,Roscommon County Council,Catholic,77,96,173
1675,Scoil an Chroi Ro Naofa,The Swan,via Athy,Co. Laois,Laois,theswanns77@gmail.com,0598635764,Elizabeth Kennedy,Laois County Council,Catholic,14,15,29
1676,S N COLUMBAIN,Killaconnigan,Mullingar Road,Ballivor,Meath,office@ballivorns.com,0469546213,Rachel McCormack,Meath County Council,Catholic,104,129,233
1677,SCOIL BHRIDE N S,Rathangan,Co. Kildare,,Kildare,info@bunscoilbhride.ie,045524540,Maria Rogerson,Kildare County Council,Catholic,286,,286
1678,S N CHAOIMHIN NAOFA,Philipstown,Dunleer,Co. Louth,Louth,stkevinsnsprincipal@gmail.com,0416851902,Roddy McCoy,Louth County Council,Catholic,64,84,148
1679,S N AN GHARRAIN,Gurranes,Innishannon,Co. Cork,Cork,gurranens@gmail.com,0217331481,Colm O'Sullivan,Cork County Council,Catholic,24,19,43
1680,S N an Croi Ro Naofa,Belclare,Tuam,Co. Galway,Galway,belclarens@gmail.com,09355569,Mrs. Agnes Martyn,Galway County Council,Catholic,100,108,208
1681,St. Brigid's National School Aughnafarcon,Aughnafarcon,Broomfield,Castleblayney,Monaghan,aughnafarcon.n.s@hotmail.com,0429743639,Marie Rafferty,Monaghan County Council,Catholic,17,20,37
1682,SCOIL MUIRE GAN SMAL,Ardattin,Co. Carlow,,Carlow,ardattin.ias@gmail.com,0599155649,Laura Bolger,Carlow County Council,Catholic,25,36,61
1683,CLOONIQUIN N S,Clooneyquinn,Elphin,Co Roscommon,Roscommon,clooneyquinn.ns@gmail.com,0719635341,Lorna Keaveney,Roscommon County Council,Catholic,22,22,44
1684,CORR A CHRAINN NATIONAL SCHOOL,Corracrin,Emyvale,Co. Monaghan,Monaghan,corracrinns2019@gmail.com,04787551,Richard Baxter,Monaghan County Council,Catholic,102,100,202
1685,S N MUIRE GAN SMAL,DRUIMEANNA,TUBBERCURRY,CO SLIGO,Sligo,driminans3@gmail.com,0719186046,Micheal Forde,Sligo County Council,Catholic,49,54,103
1686,SCOIL AILBHE,Caherelly,Grange,Kilmallock,Limerick,office@caherellyns.com,061351812,Niamh McGuinness,Limerick County Council,Catholic,55,49,104
1687,S N BRIDE,Suncroft,Curragh,Co. Kildare,Kildare,suncroftns@gmail.com,045441041,Sinead Harte,Kildare County Council,Catholic,24,31,55
1688,S N CLUAIN MUINGE,Clonmoney,Newmarket-on-Fergus,Co. Clare,Clare,principal@clonmoneyns.com,061362672,David McCormack,Clare County Council,Catholic,91,114,205
1689,KILCOMMON N S,Kilcommon,Churchlands,Tinahely,Wicklow,info@kilcommon.net,040238192,Melanie Hadden,Wicklow County Council,Church Of Ireland,44,50,94
1690,S N MHUIRE,Muchgrange,Greenore,Co. Louth,Louth,muchgrangens@gmail.com,0429373604,Joseph McCrink,Louth County Council,Catholic,33,56,89
1691,DIARMADA N S,Castlepollard,Co. Westmeath,,Westmeath,diarmadaschool@gmail.com,0449661890,JoAnne McCormack.,Westmeath County Council,Catholic,55,35,90
1692,S N MHUIRE,Heronstown,Lobinstown,Co. Meath,Meath,office@heronstownns.ie,0469053297,Karen Maher,Meath County Council,Catholic,35,49,84
1693,ST MARGARETS N S,Sandyhill,Saint Margaret's,Co. Dublin,Dublin,stmargaretsns@hotmail.com,018361669,Ciara Gaughan,Fingal County Council,Catholic,35,45,80
1694,NA MINTEOGA N S,Meentogues,Headford,Co. Kerry,Kerry,meentoguesns@gmail.com,0647754500,Miriam Madigan,Kerry County Council,Catholic,12,10,22
1695,S N NAOMH PADRAIG,Collon Road,Slane,Co. Meath,Meath,office@slanens.ie,0419824229,Paul O'Donnell,Meath County Council,Catholic,118,136,254
1696,S N MUIRE GAN SMAL,Tiernascragh,Ballycrissane,Ballinasloe,Galway,office.tiernascraghns@gmail.com,0909675431,Maria O Connor,Galway County Council,Catholic,22,31,53
1697,S N NAOMH PADRAIG,Cockhill Road,Stamullen,Co. Meath,Meath,jdoherty@stamullenns.ie,018411804,Joanne Doherty,Meath County Council,Catholic,255,269,524
1698,S N MUIRE GAN SMAL,Newhouse,Sandpit,Drogheda,Louth,principal@scoilmhuirec.ie,0419822126,Shane Reilly,Louth County Council,Catholic,96,105,201
1699,SCOIL BRIDE B,Church Avenue,Blanchardstown,Dublin 15,Dublin,principal@scoilbhrideb.com,018201299,Séamus Sullivan,Fingal County Council,Catholic,,193,193
1700,SCOIL BRIDE C,Church Avenue,Blanchardstown,Dublin 15,Dublin,maeve.kilroy@scoilbhridecailini.ie,018201717,Maeve Kilroy,Fingal County Council,Catholic,213,,213
1701,S N NAOMH DEAGLAN,College Road,Ardmore,Co. Waterford,Waterford,office@ardmorens.ie,02494569,Lindsey Prendergast,Waterford County Council,Catholic,47,47,94
1702,Scoil Mhuire na Mainistreach,New Road,Killarney,Co. Kerry,Kerry,office@presentationmonasteryns.com,0646633687,Mary Brosnan,Kerry County Council,Catholic,,167,167
1703,"COOLE N.S,","GARRADICE,","KILCOCK,",CO. MEATH,Meath,cooleschool@gmail.com,0469557538,Lisa Doyle,Meath County Council,Catholic,75,89,164
1704,S N MUIRE GAN SMAL,Sentry Hill,Letterkenny,Co. Donegal,Donegal,office@smgsletterkenny.ie,0749121171,Alma Curran,Donegal County Council,Catholic,284,196,480
1705,SOOEY N S,Sooey,Boyle,Co. Roscommon,Sligo,sooeyns@gmail.com,0719165845,Elaine McHugh,Sligo County Council,Catholic,49,63,112
1706,HOLLYWOOD N S,Hollywood Village,Hollywood,Co Wicklow,Wicklow,hollywoodnatschool@gmail.com,045864014,Séamas Ó Briain,Wicklow County Council,Catholic,63,63,126
1707,S N MHUIRE,Ballymore Eustace,Naas,Co. Kildare,Kildare,office@bmesch.ie,045864085,Peter Roche,Kildare County Council,Catholic,111,105,216
1708,SCOIL MHUIRE,Kilcruttin,Tullamore,Co. Offaly,Offaly,principal@scoilmhuiretullamore.ie,0579321222,Brendan Naughton,Offaly County Council,Catholic,196,53,249
1709,SCOIL NAOMH SEOSAMH,Rathdonnell,Trentagh,Letterkenny,Donegal,principal@rathdonnellns.com,0749137315,Nigel Ferry,Donegal County Council,Catholic,8,16,24
1710,BAILIEBORO N S,Tanderagee,Bailieborough,Co. Cavan,Cavan,office@stannesns.ie,0429665242,PAUL CORCORAN,Cavan County Council,Catholic,132,156,288
1711,SCOIL MHUIRE,Ballyleague,Lanesborough,Co. Roscommon,Roscommon,ballyleaguens@gmail.com,0433321906,Caitríona Fallon,Roscommon County Council,Catholic,31,38,69
1712,S N AN GRAINSEACH,Clonmel,Co. Tipperary,,Tipperary,nsgrange1956@gmail.com,0526138252,Richard Carroll,Tipperary (Sr) County Council,Catholic,64,73,137
1713,S N NAOMH LORCAIN,Levitstown,Maganey,Athy,Kildare,principal@snlorcain.ie,0599145217,Michelle NíFhaoláin,Kildare County Council,Catholic,20,14,34
1714,S N MUIRE,Gowran,Co. Kilkenny,,Kilkenny,principal@gowranns.ie,0567726221,Damien Alyward,Kilkenny County Council,Catholic,98,99,197
1715,S N PEADAR AGUS POL,ATH AN URCHAIR,MOATE,CO OFFALY,Offaly,sspeterandpaulsns@gmail.com,0579335282,Áine Groarke,Offaly County Council,Catholic,6,9,15
1716,NAOMH SEOSAMH,Mell,Drogheda,Co. Louth,Louth,office@mellns.ie,0419833990,Tara Kerins,Louth County Council,Catholic,132,161,293
1717,SCOIL NÁISIÚNTA MUIRE GAN SMÁL,Townparks,Lifford,Co. Donegal,Donegal,liffordns@gmail.com,0749141269,Mrs Emma Bradley,Donegal County Council,Catholic,58,66,124
1718,S N CNOC MACHAN,Knockmahon,Bunmahon,Co. Waterford,Waterford,knockmahonns@gmail.com,051292500,Mrs Bernadette Murphy,Waterford County Council,Catholic,2,4,6
1719,SCOIL BHRIDE B7C,Paulstown,Kilkenny,,Kilkenny,admin@paulstownns.ie,0599726149,Brian Healy,Kilkenny County Council,Catholic,104,113,217
1720,SCOIL MHUIRE MXD,Tuckett's Lane,Howth,Co. Dublin,Dublin,howthns@gmail.com,018323572,Mary Downes,Fingal County Council,Catholic,174,175,349
1721,S N DUMHACH,Dooagh,Achill,Westport,Mayo,principal@dooaghns.ie,09843303,Irene Gielty,Mayo County Council,Catholic,17,11,28
1722,BALLYNEALE N S,Ballyneale,Carrick-on-Suir,Co. Tipperary,Tipperary,ballynealens32@gmail.com,051641417,Cathal Dooley,Tipperary (Sr) County Council,Catholic,33,44,77
1723,DUNFANAGHY N S,Hornhead Rd,Dunfanaghy,Co. Donegal,Donegal,dunfanaghyns@gmail.com,0749136319,RACHEL WITHEROW,Donegal County Council,Church Of Ireland,12,12,24
1724,S N ODHRAN NAOFA,Ballinaclough,Nenagh,Co. Tipperary,Tipperary,ballinacloughns@gmail.com,06725455,Michael Gleeson,Tipperary (Nr) County Council,Catholic,26,36,62
1725,SCOIL NAOMH MHUIRE,Maree,Oranmore,Co. Galway,Galway,info@mareens.ie,091790353,Lisa Kilkelly,Galway County Council,Catholic,106,127,233
1726,S N CILL DAMHAIN,Kildavin,Via Enniscorthy,Co. Wexford,Carlow,kildavin.ias@gmail.com,0539376456,Gillian Murphy,Carlow County Council,Catholic,41,46,87
1727,S N BAILE MHIC ADAIM,BAILE MHIC ADAIM,MAGH BHEALAIGH,CO CILL DARA,Kildare,cadamstown@gmail.com,0469551308,Martin Lynch,Kildare County Council,Catholic,48,37,85
1728,S N CLOCH RINNCE,Broadford,Moyvalley,,Kildare,principal@clocharince.ie,0469553428,Yvonne Brennan,Kildare County Council,Catholic,65,72,137
1729,S N Dun na Mainistreach,Sheares Street,Abbeyside,Dungarvan,Waterford,rdepaor@gmail.com,05841102,Ruaidhri de Paor,Waterford County Council,Catholic,223,232,455
1730,S N COILL DUBH,Coill Dubh,Naas,Co. Kildare,Kildare,office@coilldubhns.ie,045860023,Joseph Leacy,Kildare County Council,Catholic,79,103,182
1731,TOGALA MHUIRE,Kiltullagh,Co. Galway,,Galway,kiltullaghns@gmail.com,091848480,Lorraine Power,Galway County Council,Catholic,93,105,198
1732,S N Mhuire na Trocaire,Hale Street,Ardee,Co. Louth,Louth,office@smntardee.ie,0416853152,Deirdre Sweeney,Louth County Council,Catholic,270,69,339
1733,S N MUIRE,Rampark,Jenkinstown,Co. Louth,Louth,office@ramparkns.com,0429376296,Julie carolan,Louth County Council,Catholic,92,95,187
1734,S N na Trionoide Naofa,Lismullen,Garlow Cross,Navan,Meath,office@lismullenns.ie,0469025533,Violet Molloy,Meath County Council,Catholic,106,127,233
1735,WHITECHURCH N S CEAPACH,Clonkerdon,Cappagh,Dungarvan,Waterford,info@whitechurch.org,05868282,Séamus Hannon,Waterford County Council,Catholic,46,58,104
1736,S N INIS CEALTRACH,Mountshannon,Co. Clare,,Clare,mountshannonns@gmail.com,061927299,Joe O Riordan,Clare County Council,Catholic,26,45,71
1737,S N Gort na Gaoithe,GORT NA GAOITHE,Newbridge,Ballinasloe,Galway,info@windfieldns.ie,0868399632,ROISIN KELLY,Galway County Council,Catholic,25,39,64
1738,SCOIL NAOMH EANNA,BULLAUN,LOUGHREA,CO GALWAY,Galway,info@bullaunns.ie,091847379,Fergal Connaire,Galway County Council,Catholic,100,108,208
1739,S N NAOMH EIGHNEACH,DISEART EIGHNIGH,BUNCRANNACH,CO DUN NA NGALL,Donegal,stegneys@gmail.com,0749362008,REGINA NIC AODHA,Donegal County Council,Catholic,40,35,75
1740,S N MHUIRE,Cloneygowan,Tullamore,Co. Offaly,Offaly,snmcloneygowan@gmail.com,0579343594,Brian T Ryan,Offaly County Council,Catholic,55,69,124
1741,Cloontuskert National School,Cloontuskert,Lanesboro,,Roscommon,office@cloontuskertns.ie,0433321817,Therese Concannon,Roscommon County Council,Catholic,47,35,82
1742,COOLFANCY N S,CUL FHASAIGH,TINAHELY,CO WICKLOW,Wicklow,coolfancynationalschool@gmail.com,040234866,PJ Nolan,Wicklow County Council,Catholic,36,32,68
1743,SCOIL MHUIRE,CAISEAL,CIONN DROMA,FÁNAID,Donegal,scoilmhuirecaiseal@gmail.com,0749159369,Pádraigín Ní Dhomhnaill,Donegal County Council,Catholic,34,30,64
1744,S N MHUIRE,Carna,Co. na Gaillimhe,,Galway,scoilmhuirecarna@gmail.com,09532820,Caroline Ni Chomghaile,Galway County Council,Catholic,22,36,58
1745,SCOIL NAOMH MHUIRE,Mountbellew,Ballinasloe,Co. Galway,Galway,office@mountbellewns.ie,0909679396,MICHAEL KELLY,Galway County Council,Catholic,70,110,180
1746,S N SAN NIOCLAS,TIGH BANAN,CASTLEBELLINGHAM,CO LOUTH,Louth,stabannonschool@gmail.com,0416851772,MICHELLE FLANAGAN,Louth County Council,Catholic,18,31,49
1747,SN MHUIRE BOYS SENIOR SCHOOL,Railway Road,Belturbet,Co. Cavan,Cavan,stmarysbelturbet@gmail.com,0499522906,Laura Higgins,Cavan County Council,Catholic,,74,74
1748,S N MHUIRE MXD,Kiskeam,Mallow,Co. Cork,Cork,info@scoilmhuirekiskeam.ie,02976456,Eugene Kelliher,Cork County Council,Catholic,27,50,77
1749,SCOIL NAOMH PEADAR,MOUNTCHARLES,CO DUN NA NGALL,,Donegal,office@stpetersmountcharles.ie,0749735459,MR. DÁIRE DIVER,Donegal County Council,Catholic,65,70,135
