Sr No,School Name,School Number,School Directer,Address,City,Province,Code postal,Phone Number,Fax Number,Region,School Email,Website
1500,Toronto World School,885305,Simon Gallo,5109 Steeles Avenue West,Toronto,Ontario,M9L2Y8,416-857-3704,,Région de l’Est,sgallo12@hotmail.com,www.torontoworldschool.com
1501,Toronto Zoo,888183,Steve Jones,361 OLD FINCH AVE,TORONTO,Ontario,M1B5K7,416-392-5944,,Région de l’Est,zooschool@torontozoo.ca,www.torontozoo.com
1502,Toronto eLearning School,883367,Dan Bowyer,445 Apple Creek Blvd,Toronto,Ontario,L3R9X7,647-313-0131,,Région Centrale,admin@torontoelearningschool.com,https://torontoelearningschool.com
1503,Towards Ahimsa Secondary School,884635,Ambika Jain,73 George Henry Blvd,North York,Ontario,M2J1E8,416-494-3448,,Région de Toronto,info@imjmcanada.org,
1504,Town Centre Private School - Pre-School,883875,Rocco Lamanna,155 Clayton Dr,Markham,Ontario,L3R7P3,905-470-1200,905-470-0184,Région Centrale,admin@tcmps.com,www.tcmps.com
1505,Town Centre Private Schools - High School,666810,Leepy Hajra,155 CLAYTON DR,MARKHAM,Ontario,L3R7P3,905-470-1200,905-470-1721,Région Centrale,leepy.hajra@tcmps.com,www.tcphs.com
1506,Trafalgar Castle School,886700,Melissa Knight-Johnson,401 Reynolds St,Whitby,Ontario,L1N3W9,905-668-3358,905-668-4136,Région de l’Est,admin@trafalgarcastle.ca,http://www.trafalgarcastle.ca
1507,Trafalgar Ridge Montessori School,665967,Sandrine Lescure,2379 Trafalgar Rd,Oakville,Ontario,L6H6K7,905-257-5955,,Région Centrale,director@trms.ca,www.trms.ca
1508,Trail Ridge Montessori School,884483,Ada DeLong,18 Elizabeth St,Grimsby,Ontario,L3M3K3,905-945-1490,,Région de l’Ouest,ada.delong@trailridge.ca,www.trailridge.ca
1509,Trails Youth Initiatives,665231,Mel Millward,15599 Warden Ave,Stouffville,Ontario,L4A2M9,905-836-0100,,Région Centrale,admin@trails.ca,www.trails.ca
1510,Trenton Christian,886572,Stacey Siebenga,340 Second Dug Hill Rd 4,Trenton,Ontario,K8V5P7,613-392-3600,613-392-6316,Région de l’Est,office@trentonchristianschool.com,www.qrcs.ca
1511,Trenton Collegiate Institute,669949,Yufan Zheng,83 Marmora,Trenton,Ontario,K8V2J2,705-345-9499,,Région de l’Est,office@CanadaTCI.ca,https://canadatci.ca
1512,Trillium School,875511,Lily Moon,4277 14th Ave,Markham,Ontario,L3R0J2,905-946-1181,905-946-8267,Région Centrale,lmoon@trilliumschool.ca,http://www.trilliumschool.ca/
1513,Trillium Waldorf School,877549,Sophie Wilmer,540 Victoria Road North,Guelph,Ontario,N1E6Z4,519-821-5140,,Région de l’Ouest,admin@trilliumwaldorfschool.com,www.guelphwaldorf.ca
1514,Trinity Academy of Canada,887000,Jay Z,27 West Beaver Creek Road,Richmond Hill,Ontario,L4B1M8,647-272-3166,,Région Centrale,info@trinitycanada.ca,www.trinitycanada.ca
1515,Trinity Christian School,885240,Jean-Daniel Lussier,2170 Itabashi Way,Burlington,Ontario,L7M5B3,905-634-3052,905-634-9382,Région de l’Ouest,trinity@tcsonline.ca,www.tcsonline.ca
1516,Trinity College School,886254,Jennifer Reid,55 Deblaquire St N,Port Hope,Ontario,L1A4K7,905-885-3217,905-885-9690,Région de l’Est,sgrainger@tcs.on.ca,http://www.tcs.on.ca
1517,Trinity Elementary School,666604,Antonietta Ramagnano,1940 Ave Eglinton Avenue East,Scarborough,Ontario,M1L4R1,416-567-4352,,Région de l’Est,antonetteramagnano@hotmail.com,Canadaconnectlearn.com
1518,Trinity International School,887123,Manal Labib,60 Granton Dr,Richmond Hill,Ontario,L4B2N6,416-820-6770,,Région Centrale,info@TISSchool.ca,www.TISSchool.ca
1519,Trinity Montessori School,665215,Elena Ho,9211 Woodbine Ave,Markham,Ontario,L3R0K1,905-948-8993,905-948-8983,Région Centrale,info@trinitymontessori.ca,www.trinitymontessori.ca
1520,Trinity Ontario High School,669198,Reshma Mukadam,5700 Yonge St,North York,Ontario,M2M4K2,647-949-3769,,Région Centrale,reshmashadab1@gmail.com,www.cfaonline.ca
1521,Triple Hills,886194,Betsy Sherk,90848 Jeffray Line 2,Wingham,Ontario,N0G2W0,,,Région de l’Ouest,,
1522,True North Academy,884816,Lisa Cooke,202 Ontario Street,Stayner,Ontario,L0M1S0,705-428-5144,,Région Centrale,info@truenorthacademy.ca,www.truenorthacademy.ca
1523,True North Christian Academy,876496,David Wilson,599 Government St.,Dryden,Ontario,P8N0A2,807-223-5504,,Région du Nord,truenorth@dfgc.ca,
1524,Turnberry Parochial School,876305,Louisa Martin,89913 Powell Line 1,Wingham,Ontario,N0G2W0,,,Région de l’Ouest,,
1525,Turnbull School,668681,Brenda Cole,1132 Fisher Avenue,Ottawa,Ontario,K1Z6P7,613-729-2273,613-729-1636,Région de l’Est,cazar@turnbull.ca,www.turnbull.ca
1526,Tzu Chi Academy,668380,Faye Yu,171 Delhi Ave,Toronto,Ontario,M3H1A7,416-886-8886,,Région de Toronto,academy.cc@tzuchi.ca,https://moodle.tzuchi.ca/
1527,UMC High School,666482,Ali Samater,150 Eglinton Avenue East,Toronto,Ontario,M4P1E8,416-438-0707,,Région de l’Est,admin@umchighschool.com,www.umchighschool.com
1528,UMC High School – Eglinton Campus,888748,Ali Samater,150 Eglinton Avenue East,Toronto,Ontario,M4P1E8,416-221-1226,,Région de Toronto,info@umchighschool.com,www.umchighschool.com
1529,UMCA Rich Tree Academy,668410,Suzana Pinsky,9600 Bathurst St.,Thornhill,Ontario,L6A3Z8,905-763-8622,905-763-2105,Région Centrale,toronto@umca.ca,www.umca.ca
1530,USCA Academy,881623,dazhuan lu,977 Pantera Drive,Mississauga,Ontario,L4W2W6,905-232-0411,,Région Centrale,info@uscaacademy.com,www.uscaacademy.com
1531,UT Preparatory Academy,881924,Tony Chang,205 Sparks Avenue,Toronto,Ontario,M2H2S5,647-557-0917,647-557-0919,Région Centrale,admin@utpa.ca,www.utpa.ca
1532,UVA School,883147,Antonija Murphy,2 Simonston Blvd,Thornhill,Ontario,L3T4L1,416-858-6166,,Région de l’Est,info@uvaschool.org,http://uvaschool.org
1533,Uchenna Academy,884350,Careen McNee,950 Dupont Street,Toronto,Ontario,M6H1Z2,416-855-5572,,Région de Toronto,dave.mcnee@uchenna.ca,www.uchenna.ca
1534,Um Al-Qura Islamic School,665614,Husnah Al-Mashtouli,265 Blv Yorkland,North York,Ontario,M2J5C7,416-443-3557,416-443-3557,Région de l’Est,um-al_qura@hotmail.com,www.umalqura.ca
1535,Ummati Learning Center,669116,Abdul Raheem Sharif,205 County Court Boulevard,Brampton,Ontario,L6W4R6,647-909-6490,,Région Centrale,ummatilc@gmail.com,ummaticentre.ca
1536,Ummaty School,669082,Therese Guilbeault,154 Colonnade Rd,Nepean,Ontario,K2E7S8,343-575-4511,,Région de l’Est,mariam.guilbeault@hotmail.com,UmmatySchool.CA
1537,Union Education Academy,886480,Zerin Ahmed,25 Ridgewood Drive,Richmondhill,Ontario,L4E3M1,647-671-4448,,Région Centrale,z3edu.centre@gmail.com,https://www.ueacademy.ca/
1538,"Unionville College, Montessori and Eleme",889728,David Treherne,4486 16th Avenue,Unionville,Ontario,L3R0M1,905-474-9888,,Région Centrale,office@unionvillecollege.com,www.unionvillecollege.com
1539,"Unionville College, Secondary School",877433,Patrick McCarthy,3844 Stouffville Road,Unionville,Ontario,L4A7X5,905-474-9888,905-474-5767,Région Centrale,office@unionvillecollege.com,www.unionvillecollege.com
1540,Unionville International Academy,665644,Tiancheng Kuang,250 Lesmill Rd,North York,Ontario,M3B2T5,416-817-2852,,Région de l’Est,info@unionvilleacademy.com,http://unionvillemoodle.com
1541,Unique Chinese School - 1,884124,Lian Liu,4271 Sheppard Avenue East,Scarborough,Ontario,M1S4G4,647-998-0928,,Région de l’Est,amandalbl@yahoo.com,
1542,Unique Chinese School - 2,665953,Amelia Lin,3143 Sheppard Avenue East,Scarborough,Ontario,M1T3J7,647-998-0928,,Région de l’Est,amandalbl@yahoo.com,www.chinesenumber1.com
1543,United Mennonite Educational Institute,885800,Darcy Bults,"614 Mersea Rd 6, RR #5",Leamington,Ontario,N8H3V8,519-326-7448,519-326-0278,Région de l’Ouest,office@umei.ca,http://www.umei.ca
1544,Unity Christian High School,667366,Allen Schenk,25 Burton Avenue,Barrie,Ontario,L4N2R3,705-792-6915,705-792-2389,Région Centrale,info@unitychristianhigh.ca,www.unitychristianhigh.ca
1545,University of Toronto Schools,667510,Leanne Foster,371 BLOOR ST WEST Street,Toronto,Ontario,M5S2R7,416-978-3212,416-978-6775,Région de Toronto,info@utschools.ca,http://www.utschools.ca
1546,Upper Canada College,886858,Samuel McKinney,200 Lonsdale Rd,Toronto,Ontario,M4V1W6,416-488-1125,,Région de Toronto,jkinnear@ucc.on.ca,http://www.ucc.on.ca/
1547,Upper Crescent Academy,669453,Simon Huynh,8901 Woodbine Ave.,Markham,Ontario,L3R9Y4,416-809-2971,,Région Centrale,info@uppercrescentacademy.com,
1548,Upper Hull Secondary School,882187,Ann Wang,7181 Woodbine Ave,Markham,Ontario,L3R1A3,888-906-1996,,Région Centrale,admin@upperhull.com,www.upperhull.com
1549,Upper York School,668518,Lydia Gao,2832 16th Avenue,Markham,Ontario,L3R0K8,905-604-4622,,Région Centrale,info@upperyorkschool.ca,upperyorkschool.ca
1550,Urban International High School - North,885905,Ahram Ham,2 Champagne Drive,Toronto,Ontario,M3J0K2,416-483-9174,,Région Centrale,admin@uihs.ca,
1551,Urban International School,885115,Ahram Ham,1107 Finch Avenue West,North York,Ontario,M3J2C5,416-924-1011,416-921-1011,Région de Toronto,admin@uihs.ca,www.uihs.ca
1552,Urban Village Academy,667866,Amy Arbour,L - 576 Bryne Drive,Barrie,Ontario,L4N9P6,705-722-5439,,Région Centrale,Amy@urbanvillageacademy.com,Www.urbanvillageacademy.com
1553,Ut Pathway Academy,884361,Janeth Acalain,175 Sparks Avenue,North York,Ontario,M2H2S5,437-473-8546,,Région de Toronto,best99.ca@gmail.com,
1554,Uxbridge Montessori School,876453,Leili Doust,167 Main St N,Uxbridge,Ontario,L9P1C3,905-852-6377,,Région de l’Est,office@uxbridgemontessori.com,www.uxbridgemontessori.com
1555,V3 Preparatory Academy,881956,Keir Bryan,1160 Birchmount Rd,Scarborough,Ontario,M1P2B7,647-693-8929,,Région de l’Est,education@v3prepbasketball.ca,https://v3prepbasketball.ca/
1556,VES School,883703,Alvin Ma,16 Esna Park Dr,Markham,Ontario,L3R5X1,647-985-8133,,Région Centrale,principal@ves-canada.com,ves-canada.com
1557,Valley View Parochial School,889263,Nelson Brubacher,391 Southline Avernue,Kincardine,Ontario,N2Z2X5,,,Région de l’Ouest,,
1558,Vantage Academy,668451,Dan Yu,7030 Woodbine Avenue,Markham,Ontario,L3R6G2,437-435-6518,,Région Centrale,gracedanyu@gmail.com,https://vantageacademy.ca/
1559,Vaughan College,666098,Franco MARCHESE,9121 Weston RD,Woodbridge,Ontario,L4H0L4,905-265-9229,,Région Centrale,info@vaughancollege.ca,www.vaughancollege.ca
1560,Vedic Roots Montessori Academy,668835,Sonam Agarwal,5816 Sheppard Ave E,Scarborough,Ontario,M1B4Z6,416-844-2937,,Région de Toronto,Director@vedicroots.ca,Www.vedicroots.ca
1561,Vega Academy,665337,Miguel Lameiro,700 Lawrence Ave West,North York,Ontario,M6A3B4,647-730-5566,,Région de Toronto,info@vegaacademy.ca,
1562,Verideia Classical Christian Academy,888664,Trevor Long,1780 Glasgow Street,Kitchener,Ontario,N2N0A7,519-746-0008,519-746-4206,Région de l’Ouest,colleenlong66@gmail.com,www.verideia.com
1563,Veritas International School,669955,Janki Shah,7191 Yonge Street,Markham,Ontario,L3T0C4,365-777-3402,,Région de l’Ouest,jankieshah@gmail.com,
1564,Vezina,663263,Shoukat Ali,15 Seven Street,Attawapiskat,Ontario,P0L1A0,705-997-2117,705-997-2357,Région du Nord,principal.vezina@afnea.com,www.afnea.com
1565,Vianney Academy,667322,Karen Uschold,2632 Liruma Rd,Mississauga,Ontario,L5K1Z1,647-625-5159,,Région Centrale,bethany@vianney.ca,
1566,Victoria Academy,884963,Alex Fan,20 East Beaver Creek Rd.,Richmond Hill,Ontario,L4B1G6,647-945-7162,,Région de Toronto,admin@victoria-academy.ca,https://www.victoria-academy.ca
1567,Victus Academy,669153,Jodie Schnarr,35 Sportsworld Crossing Road,Kitchener,Ontario,N2P0A5,519-219-5900,226-806-0230,Région de l’Ouest,info@victusacademy.com,www.victusacademy.com
1568,Vincent Massey Academy Day School,665636,Amber Halcovitch,68 Daisy Avenue,Etobicoke,Ontario,M8W1S1,416-252-3304,,Région de l’Ouest,contact@vincentmassey.com,vincentmassey.com
1569,Vineridge Academy,669681,Michael Miao,1875 Niagara Stone Road,Niagara-on-the-Lake,Ontario,L0S1J0,289-868-9200,289-868-8873,Région de l’Ouest,admissions@vineridge.ca,www.vineridge.ca
1570,Virgil Old Colony Christian School,665347,Susan Klassen,565 East West Line,Niagara-on-the-Lake,Ontario,L0S1J0,905-468-5028,905-468-0334,Région de l’Ouest,,
1571,Virtual Elementary School,883303,Stephen Baker,27 Main Street N,Bayfield,Ontario,N0M1G0,866-679-9377,519-565-4100,Région de l’Ouest,infoVES@virtualelementaryschool.com,www.virtualelementaryschool.com
1572,Virtual High School,665681,Stephen Baker,27 Main Street North,Bayfield,Ontario,N0M1G0,866-679-9377,519-565-4100,Région de l’Ouest,principal@virtualhighschool.com,www.VirtualHighSchool.com
1573,Visionary Academy,883339,Yongjun Lu,445 Apple Creek Blvd,Markham,Ontario,L3R9X7,647-887-7128,,Région de l’Est,OSSD@farvision.ca,
1574,WE International Academy,668665,Becky Yin,33 MALLARD ROAD,TORONTO,Ontario,M3B1S4,905-707-9998,,Région Centrale,admin@westfieldeducation.ca,www.westfieldeducation.ca
1575,WONDERfield: for Charlotte Mason educati,668344,Jennifer Gagnon,111 Queen Street,Kingsville,Ontario,N9Y2A1,519-990-4459,,Région de l’Ouest,jengagnon3@gmail.com,
1576,Wahsa Distance Education Centre,663727,Darryl Tinney,74 Front Street,Sioux Lookout,Ontario,P8T1B7,807-737-1488,807-737-1732,Région du Nord,Dobi.Frenette@nnec.on.ca,http://www.nnec.on.ca/index.php/wahsa-distance-education/
1577,Walden International School,667399,Daphne Perugini,"2035 Upper Middle rd E,",Oakville,Ontario,L6H7G6,905-338-6236,,Région Centrale,sbroomhead@waldenschools.com,www.waldeninternationalschool.com
1578,Waldorf Academy,884693,Jones Conor,250 Madison Ave,Toronto,Ontario,M4V2W6,416-962-6447,416-975-5513,Région de Toronto,info@waldorfacademy.org,www.waldorfacademy.org
1579,Wales College Secondary School,669384,AMY PATEL,56 Redlea Ave,Toronto,Ontario,M1V4S3,416-299-9966,416-299-1577,Région de l’Est,info@walescollege.ca,www.walescollege.ca
1580,Walford Parochial School,668527,Arlene Martin,23 River Road West,Massey,Ontario,P0P1P0,,,Région Centrale,,
1581,Wali ul Asr School,881389,Hena Manekia,84 Simpson Road Rd,Caledon,Ontario,L7E4G2,905-951-6146,,Région Centrale,info@waliulasr.ca,http://www.waliulasr.ca
1582,Wali ul Asr School -GTA West Campus,665704,Mahawish Bhojani,7580 Kennedy Road,Brampton,Ontario,L6W0A1,905-457-9254,,Région Centrale,info@waliulasr.ca,www.waliulasr.ca
1583,Wallace Wood,666080,Susanne Frey,5067 Line 87,Listowel,Ontario,N5W3G8,226-622-8654,,Région de l’Ouest,,
1584,Wallaceburg Christian Private School,886610,Matthew Charron,693 Albert Street,Wallaceburg,Ontario,N8A1Y8,519-627-6013,519-627-5051,Région de l’Ouest,admin@wallaceburgchristianschool.com,www.wallaceburgchristianschool.com
1585,Walnut Forest Academy,669750,Traci Scheepstra,464 Wilson Street,Eden Mills,Ontario,N0B1P0,416-999-7687,,Région de l’Ouest,info@walnutforestacademy.com,www.walnutforestacademy.com
1586,Walsingham Christian School,876852,Marten Klassen,1 Concession Road 6 1,Walsingham,Ontario,N0E1X0,519-586-3812,519-586-9489,Région de l’Ouest,,
1587,Warwick Academy,669924,Christina Tung,556 Edward Avenue,Richmond Hill,Ontario,L4C9Y5,416-826-6883,,Région Centrale,info.warwickacademy@gmail.com,
1588,Warwick Secondary School,669971,Christina Tung,7170 Warden Avenue,Markham,Ontario,L3R8B4,365-608-5886,,Région Centrale,info@warwickss.ca,www.warwickss.ca
1589,Waterdown Islamic School (WIS),665956,Aghyad Alshawaf,20 Innovation Drive,Dundas,Ontario,L9H7P3,289-895-8765,,Région de l’Ouest,wmccofficial@wmcc.ca,waterdownislamicschool.ca
1590,Waterdown Montessori School,883800,Mary Benak,1921 Snake Road,Burlington,Ontario,L7P4Y2,905-689-2171,,Région de l’Ouest,principal@waterdownmontessori.com,
1591,Waterloo High School,889175,Hao Ming Gu,255 King St North,Waterloo,Ontario,N2J4V2,226-533-6096,,Région de l’Ouest,contact@waterloohs.ca,www.waterloohs.ca
1592,Waterloo Independent School,668370,Amy Robinson,55 Dickson Street,Cambridge,Ontario,N1R7A5,226-647-8000,519-804-6490,Région de l’Ouest,director@waterlooss.ca,www.waterlooss.ca
1593,Ways Ivy Academy,668627,Samantha Schmidt,350 Highway 7,Richmond Hill,Ontario,L4B3N2,647-393-8883,,Région de Toronto,waysivy@gmail.com,https://online.waysivyacademy.com
1594,WeArt Academy,669428,Leo Jin,21 Fairburn Drive,Markham,Ontario,L6G0A6,416-830-3743,,Région Centrale,jinleidoc@gmail.com,weart.ca
1595,Webtree Academy,883796,Henry Michels,60 Scarsdale Road,North York,Ontario,M3B2R7,416-792-8280,416-792-8272,Région Centrale,yixi.ally.wang@gmail.com,http://webtreeedu.com
1596,Welland Christian Academy,880927,Adam Rich,109 Chaffey Street,Welland,Ontario,L3B2Y6,905-733-8635,,Région de l’Ouest,arich84@hotmail.com,
1597,Wellington Academy,669528,Alex Fan,9225 Leslie St.,Richmond Hill,Ontario,L4B3H6,819-328-6489,,Région Centrale,info@wellingtonacademy.ca,
1598,Wellington Hall Academy,876976,Catherine Huntley,5420 J9-5420 Highway 6,Guelph,Ontario,N1H6J2,519-823-2278,,Région de l’Ouest,wha.chuntley@gmail.com,http://www.wellingtonhallacademy.ca
1599,Wells Academy,669203,Kangxian Zhao,7030 Suite 500,Markham,Ontario,L3R6G2,647-560-6398,,Région Centrale,wellsacademy.ca@gmail.com,wellsacademy.ca
1600,Wesley Christian Academy,875910,Marjorie Serio,22 Heritage Rd,Markham,Ontario,L3P1M4,905-201-8461,905-201-6438,Région Centrale,info@wesleyca.com,http://www.wesleyca.com
1601,West Amish School,887630,Susan Stoll,52141 Glencolin Line,Aylmer,Ontario,N5H2R3,,,Région de l’Ouest,,
1602,West Bentinck Amish Parochial School,884981,Lovina Sittler,521144 Conc. 12 3,Elmwood,Ontario,N0G1S0,,,Région de l’Ouest,,
1603,West Hesson Parochial School,889580,Josiah Weber,4303 Line 83 4,Listowel,Ontario,N4W3G9,519-595-8644,,Région de l’Ouest,,
1604,West Montrose Parochial School,888524,Susanna Bauman,543 Katherine Street North,West Montrose,Ontario,N0B2V0,,,Région de l’Ouest,,
1605,Westboro Academy,876194,Tim Peters,1000 Brookfield East Road,Ottawa,Ontario,K1V6J1,613-737-9543,613-737-7716,Région de l’Est,westboro@westboroacademy.com,http://www.westboroacademy.com
1606,Westfield English Language School,669988,Becky Yin,33 Mallard Rd,Toronto,Ontario,M3B1S4,416-613-0289,,Région Centrale,frank@westfieldeducation.ca,www.westfieldeducation.ca
1607,Westfield Secondary School,667931,Becky Yin,33 MALLARD ROAD,TORONTO,Ontario,M3B1S4,416-613-0289,,Région Centrale,info@westfieldeducation.ca,www.westfieldeducation.ca
1608,Westminster Classical Christian Academy,668494,Brenden Bott,9 Hewitt Avenue,Toronto,Ontario,M6R1Y4,416-466-8819,,Région de Toronto,brenden.bott@westminsterclassical.ca,www.westminsterclassical.ca
1609,Westside Montessori School,665427,Liz Bovey,95 Bellevue Avenue,Toronto,Ontario,M5T2N8,647-430-5321,,Région de Toronto,liz@westsideschool.ca,westsideschool.ca
1610,Westview High School,665007,Derek Xu,9030 Leslie Street,Richmond Hill,Ontario,L4B1G2,647-948-5707,,Région Centrale,info@westviewhs.com,www.westviewhs.com
1611,Wharton International Academy,669581,Alex Fan,20 East Beaver Creek Rd.,Richmond Hill,Ontario,L4B1G6,819-744-1198,,Région de Toronto,admin@whartonedu.ca,www.whartonedu.ca
1612,Wheatley School of Montessori Education,883824,Eda Varalli,497 Scott Street,St Catharines,Ontario,L2M3X3,905-641-3012,905-641-1443,Région de l’Ouest,eda.varalli@wheatleyschool.com,www.wheatleyschool.com
1613,Whispering Spruce,667764,Daniel Sherk,88098 McDonald Line 1,Wroxeter,Ontario,N0G2X0,,,Région de l’Ouest,,
1614,Whitby Montessori & Elementary School,669262,Christine Mayor Miller,95 Taunton Road East,Whitby,Ontario,L1R3L3,905-430-8201,905-430-6884,Région de l’Est,christine@whitbymontessori.ca,www.whitbymontessori.ca
1615,White Oaks Montessori School,876968,Irene Stathoukos,1200 Vanier Drive,Mississauga,Ontario,L5H4C7,905-278-4454,905-278-5184,Région Centrale,admin@woms.ca,https://whiteoaksmontessori.com/
1616,White Pines High School,668763,Tara Teeling,1469 PRINCESS ST,Kingston,Ontario,K7M3E9,613-544-8973,613-544-8980,Région de l’Est,percy@aolccollege.ca,www.aolccollege.ca
1617,Whitechurch Christian Day School,878804,Alvin Gerber,201 Whitechurch Street,Lucknow,Ontario,N0G2H0,519-357-3866,,Région de l’Ouest,,
1618,Whitefield Christian Schools,875015,Jill Saunders,5808 Finch Ave E,Scarborough,Ontario,M1B4Y6,416-297-1212,416-291-4632,Région de l’Est,office@wcschools.ca,www.whitefieldchristianschools.ca
1619,Wiarton Forest School,669467,Tracy Fidler,3092 Bruce Road 13,Wiarton,Ontario,N0H2T0,519-373-6951,,Région Centrale,wiartonforestschool@gmail.com,www.atlastforestschools.com
1620,Wikwemikong High School,663662,Valerie O'Leary,34 Henry St,Wikwemikong,Ontario,P0P2J0,705-859-2870,705-859-2407,Région du Nord,hfox@wbe-education.ca,www.wbe-education.ca
1621,Wilder Learning North Durham,884182,Lisette Dale,1680 Reach St.,Port Perry,Ontario,L9L0A2,905-431-4521,,Région de l’Est,admin@wilderlearning.ca,https://wilderlearning.ca
1622,Wildflowers Forest School,668633,Brandy Schell,,Waterloo,Ontario,N2K1K9,519-279-1907,,Région de l’Ouest,wildflowersforestschool@gmail.com,www.wildflowersforestschool.ca
1623,Wildhearts: A Prince Edward County Forest and Nature School,669775,Julie Fowler,2590 County Road 15,Picton,Ontario,K0K2T0,647-463-0602,,Région de l’Est,julie@wildheartspecforestandnatureschool.ca,www.wildheartsforestandnatureschool.ca
1624,Wildwood Academy,666300,Gord Truffen,2250 Sheridan Garden Dr,Oakville,Ontario,L6J7T1,905-829-4226,905-829-2318,Région Centrale,admin@wildwoodacademy.com,www.wildwoodacademy.com
1625,Wildwood Parochial School,665327,Rudy Elsie,512 Sideroad 5 3,Paisley,Ontario,N0G2N0,,,Région de l’Ouest,,
1626,William Academy,889106,Heidi Nazer,135 King Street West,Cobourg,Ontario,K9A2M7,905-372-1000,,Région de l’Est,cobourg@williamacademy.ca,www.williamacademy.ca
1627,William Academy Scarborough,668187,Heidi Nazer,3761 Victoria Park Avenue,Scarborough,Ontario,M1W3S3,416-491-6888,416-491-9898,Région de l’Est,wschool@rogers.com,www.williamacademy.ca
1628,Willow Crest,669670,Mahion Shetler,265470 Maple Dell Road,Norwich,Ontario,N0J1P0,,,Région de l’Ouest,,
1629,WillowWood School,883539,"Andrew Hall, Mellissa Grant",55 Scarsdale Road,Toronto,Ontario,M3B2R3,416-444-7644,416-444-1801,Région Centrale,info@willowwoodschool.ca,www.willowwoodschool.ca
1630,Willowdale Christian School,887307,Patricia Schuurman,60 Hilda Ave,North York,Ontario,M2M1V5,416-222-1711,416-222-1939,Région Centrale,office@willowdalechristianschool.org,www.willowdalechristianschool.org
1631,Willowdale High School,885998,Brian Campbell,160 Eglinton Avenue East,Toronto,Ontario,M4P3B5,416-642-7092,,Région de Toronto,info@willowdalehighschool.com,willowdalehighschool.com
1632,Windsor Adventist Elementary School,885355,Sylvia Clarke,5350 Haig Ave,Windsor,Ontario,N8T1K8,519-945-1611,519-945-1611,Région de l’Ouest,principalofwaes@gmail.com,
1633,Windsor Islamic High School,881190,Sadaf Rahman Khan,5791 N Townline Road,Amherstburg,Ontario,N9V2Y9,519-962-2555,,Région de l’Ouest,info@wihs.ca,www.wihs.ca
1634,Winfield Parochial School,887420,Viola Martin,7479 Sixth Line 2,Drayton,Ontario,N0G1P0,,,Région de l’Ouest,,
1635,Wingham Baptist Church School,881287,Gary Fischer,35 John W,Wingham,Ontario,N0G2W0,519-357-1830,,Région de l’Ouest,wingham.baptist.church.treasurer@gmail.com,winghambaptistchurch.ca
1636,Winterbourne Parochial School,887471,Nancy Rudy,1210 Jiggs Hollow Road 2,West Montrose,Ontario,N0B2V0,,,Région de l’Ouest,,
1637,Wise Owl Private School,889201,Natalia Galinskaya,99A Sheppard Avenue W,North York,Ontario,M2N1M4,416-229-2356,416-497-8491,Région Centrale,ng@wiseowlprivateschool.ca,www.wiseowlprivateschool.ca
1638,Wisely International School,883361,Fei Wu,250 Consumers Road,North York,Ontario,M2J4V6,416-756-7779,,Région de Toronto,info@wiselyschool.ca,wiselyschool.ca
1639,Wish High School,666506,Arezoo Amirrezaee,18 Wynford Dr,North York,Ontario,M3C3S2,647-869-6136,,Région de Toronto,arezoo@wishhighschool.ca,www.wishhighschool.ca
1640,Wishing Well Montessori Schools,889679,Stacey Hobbs,455 Cochrane Dr,Markham,Ontario,L3R9R4,905-470-9751,905-470-0496,Région Centrale,shobbs@wishingwellschools.com,www.wishingwellschools.com
1641,Wiz Kidz Learning Centre Inc,665001,Lee Salsberg,146 Southbourne Ave,North York,Ontario,M3H1A4,416-318-7437,,Région de Toronto,info@wizkidzcentre.com,www.wizkidzcentre.com
1642,Wiz Kidz Learning Centre Inc.,666261,Lee Salsberg,545 North Rivermede RD,Concord,Ontario,L4K4H1,416-318-7437,905-760-9495,Région Centrale,sheri@wizkidzcentre.com,www.wizkidzcentre.com
1643,Woodland Christian High School,889326,John Van Pelt,"1058 Spitzig Road, RR 1",Breslau,Ontario,N0B1M0,519-648-2114,519-648-3402,Région de l’Ouest,office@woodland.on.ca,http://www.woodland.on.ca
1644,Woodland Corners Parochial School,882502,Eli Martin,5334 13th Line 4,Harriston,Ontario,N0G1Z0,,,Région de l’Ouest,,
1645,Woodland Montessori School Inc.,669312,Lisa Gaudino,274 Burton ave,Barrie,Ontario,L4N5W4,705-722-4600,,Région Centrale,erilynn@woodlandmontessori.ca,www.woodlandmontessori.ca
1646,Woodland Springs Parochial School,875627,Mahlon Martin,044037 Southgate Road 4 1,Mount Forest,Ontario,N0G2L0,,,Région de l’Ouest,,
1647,Woodside Melody Parochial,881774,Louella Martin,144460 Southgate Road 14 1,Holstein,Ontario,N0G2A0,,,Région de l’Ouest,,
1648,Woodstock Christian School,886173,Mike VanderKooi,800 Juliana Drive,Woodstock,Ontario,N4S0A8,519-539-1492,519-539-1893,Région de l’Ouest,office@woodstockchristian.ca,http://www.woodstockchristian.ca
1649,Woodstock Islamic school of Hidaya,669271,Sameera Imanullah,560 Dundas street,Woodstock,Ontario,N4S1C7,902-402-9441,,Région de l’Ouest,sameeraimanullah@gmail.com,https://woodstockhidaya.weebly.com/
1650,Woodview Learning Centre,665878,Flora Ennis,69 Flatt Rd,Burlington,Ontario,L7P0T3,905-689-4727,905-689-2474,Région de l’Ouest,lcourt@woodview.ca,www.woodviewlearningcentre.ca
