Sr No,SchoolName,SchoolType,SchoolURL,States,Email,Numbers,SchoolSector
3613,St Johns College Dubbo,Sec,http://www.stjohnsdubbo.catholic.edu.au/,NSW,stjohnscollegedubbo@bth.catholic.edu.au,02 6841 5100,NG
3614,St John's Grammar School - Junior Campus,Pri/Sec,http://www.stjohns.sa.edu.au,SA,registrar@stjohns.sa.edu.au,"8 8278 0210, 8 8278 2233, 8 8278 2242",NG
3615,St John's Lutheran Primary School,Prim,http://www.stjohnsbundaberg.qld.edu.au,QLD,school@stjohnsbundaberg.qld.edu.au,"051602996, 7 4132 6888, 99 705 363 190",NG
3616,St John's Lutheran School,Pri/Sec,http://www.sjls.qld.edu.au,QLD,"office@sjls.qld.edu.au, stjohns.kgtking@qlecs.org.au","(07) 4162 3988, (07) 4162 7846",NG
3617,St John's Lutheran School,Prim,http://www.stjohns-eudunda.sa.edu.au,SA,office@sjls.sa.edu.au,08 8581 1282,NG
3618,St John's Lutheran School,Prim,http://www.stjohnsportland.com.au/,VIC,admin@stjohnsportland.vic.edu.au,"(03) 5523 3833, 92 649 939 864",NG
3619,St John's Parish School,Prim,http://www.wf.catholic.edu.au/schools/cobar/,NSW,admin.cobar@wf.catholic.edu.au,"(02) 6836 2195, 835 (02) 6836 2195",NG
3620,St Johns Park High School,Sec,https://stjohnspk-h.schools.nsw.gov.au,NSW,stjohnspk-h.school@det.nsw.edu.au,02 9610 8035,Gov
3621,St John's Primary School,Prim,http://www.mbyplism.catholic.edu.au,NSW,sjpmull@lism.catholic.edu.au,02 6684 2386,NG
3622,St John's Regional College,Sec,https://www.sjrc.vic.edu.au/,VIC,stjohns@sjrc.vic.edu.au,"(03) 8793 2000, 03 5304 4777, 1800 551 800",NG
3623,St John's School,Prim,http://www.sjfrankstoneast.catholic.edu.au,VIC,"admin@sjfrankstoneast.catholic.edu.au, principal@sjfrankstoneast.catholic.edu.au","(03) 9789 9794, 26 247 686 477",NG
3624,St John's School,Prim,http://www.sjmitcham.catholic.edu.au,VIC,principal@sjmitcham.catholic.edu.au,"03 9874 1575, 636 696 697 693, 690 689 688 687, 694 695 692 691",NG
3625,St John's School,Prim,http://www.sjeuroa.catholic.edu.au,VIC,"office@sjeuroa.catholic.edu.au, principal@sjeuroa.catholic.edu.au","03 5795 2937, 5795 2937",NG
3626,St John's School,Prim,http://www.sjfootscray.catholic.edu.au,VIC,admin@sjfootscray.catholic.edu.au,(03) 9687 3150,NG
3627,St John's School,Prim,http://www.sjdennington.catholic.edu.au,VIC,principal@sjdennington.catholic.edu.au,03 5562 5362,NG
3628,St John's School,Prim,http://www.sjheidelberg.catholic.edu.au,VIC,"heidelberg@cam.org.au, office@sjheidelberg.catholic.edu.au, principal@sjheidelberg.catholic.edu.au","(03) 9457 1066, (03) 9459 2963, (03) 9459 7874, 03) 9459 2963, 9459 2963",NG
3629,St John's School,Prim,http://www.stjohnssilkwood.qld.edu.au/,QLD,secretary.silkwood@cns.catholic.edu.au,(07) 4065 9530,NG
3630,St John's School,Pri/Sec,https://roma.catholic.edu.au/,QLD,roma@twb.catholic.edu.au,07 4622 1842,NG
3631,St John's School,Prim,http://www.sjr.wa.edu.au,WA,admin@sjr.wa.edu.au,"08 99 200 100, 99 200 100",NG
3632,St John's School,Prim,https://www.stjohns.wa.edu.au/,WA,"admin@stjohns.wa.edu.au, finance@stjohns.wa.edu.au",(08) 9203 3000,NG
3633,St Joseph the Worker Catholic Primary School,Prim,https://stjwauburn.syd.catholic.edu.au,NSW,info@stjwauburn.catholic.edu.au,"(02) 9644 7787, (02) 9646 1434, 144 (02) 9646 1434",NG
3634,St Joseph the Worker School,Prim,http://www.sjwreservoirnth.catholic.edu.au,VIC,"parish@stjosephtheworker.org.au, principal@sjwreservoirnth.catholic.edu.au","(03) 9460 3013, (03) 9462 2949, (03) 9469 7800",NG
3635,St Josephâ€™s Catholic Primary School,Prim,https://sjwerribee.catholic.edu.au,VIC,enquiries@sjwerribee.catholic.edu.au,(03) 8742 3381,NG
3636,St Joseph's Catholic College,Sec,http://www.sjccdbb.catholic.edu.au,NSW,sjcc@dbb.org.au,"02 7256 2137, 2025 2025",NG
3637,St Joseph's Catholic College,Sec,http://www.aberdeen.catholic.edu.au,NSW,admin@aberdeen.catholic.edu.au,"(02) 6543 7924, 336 (02) 6543 7444",NG
3638,St Joseph's Catholic Flexible School,Special,http://www.youthplus.edu.au/st-josephs-catholic-flc-alice-springs,NT,stjosephsASFLC@youthplus.edu.au,"0408 568 357, 08 8929 3900",NG
3639,St Joseph's Catholic High School,Sec,http://www.sjchsdow.catholic.edu.au,NSW,info@sjchsdow.catholic.edu.au,(02) 4230 8500,NG
3640,St Joseph's Catholic Primary School,Prim,http://www.sjbdow.catholic.edu.au,NSW,info@sjbdow.catholic.edu.au,(02) 4283 1111,NG
3641,St Joseph's Catholic Primary School,Prim,http://www.sjndbb.catholic.edu.au,NSW,sjn@dbb.catholic.edu.au,02 7256 2134,NG
3642,St Joseph's Catholic Primary School,Prim,https://stjbelmore.syd.catholic.edu.au,NSW,info@stjbelmore.catholic.edu.au,"(02) 9759 1154, 192 (02) 9759 1154",NG
3643,St Joseph's Catholic Primary School,Prim,https://stjenfield.syd.catholic.edu.au,NSW,info@stjenfield.catholic.edu.au,"(02) 9744 2811, (02) 9747 4884, 136 (02) 9744 2811, 2006-2009",NG
3644,St Joseph's Catholic Primary School,Prim,https://stjoatley.syd.catholic.edu.au,NSW,"info@stjoatley.catholic.edu.au, oatleycc@bigpond.net.au","(02) 9580 6588, 02 9580 1864, 223 (02) 9580 6588",NG
3645,St Joseph's Catholic Primary School,Prim,https://stjmoorebank.syd.catholic.edu.au,NSW,info@stjmoorebank.catholic.edu.au,"(02) 9602 1083, (02) 9602 7254, 02 9602 1083, 170 (02) 9602 7254",NG
3646,St Joseph's Catholic Primary School,Prim,https://stjriverwood.syd.catholic.edu.au,NSW,"info@stjriverwood.catholic.edu.au, olfpeakhurst@atu.com.au","(02) 9533 3341, 0490 754 963, 210 (02) 9533 3341",NG
3647,St Joseph's Catholic Primary School,Prim,https://stjrockdale.syd.catholic.edu.au,NSW,"admin@mmrc.org.au, info@stjrockdale.catholic.edu.au","(02) 9567 1558, (02) 9599 2541, 216 (02) 9599 2541",NG
3648,St Joseph's Catholic Primary School,Prim,http://www.stjoespinjarra.wa.edu.au,WA,admin@stjoespinjarra.wa.edu.au,208 (08) 9530 5500,NG
3649,St Joseph's Catholic Primary School,Prim,http://www.sjbarok.catholic.edu.au,QLD,sjba@rok.catholic.edu.au,"(07) 4651 2450, 725 (07) 4994 8380",NG
3650,St Joseph's Catholic Primary School,Prim,https://www.sjbirok.catholic.edu.au/,QLD,sjbi@rok.catholic.edu.au,"(07) 4992 2353, 07 4992 2353",NG
3651,St Joseph's Catholic Primary School,Prim,http://sjblrok.catholic.edu.au/,QLD,sjbl@rok.catholic.edu.au,"07 4994 8385, 07 4994 9370",NG
3652,St Joseph's Catholic Primary School,Prim,http://www.sjbgrok.catholic.edu.au/,QLD,sjbg@rok.catholic.edu.au,"(07) 4151 4771, 07 4151 4771",NG
3653,St Joseph's Catholic Primary School,Prim,http://www.stjosephsclermont.catholic.edu.au/,QLD,sjc@rok.catholic.edu.au,07 4994 8355,NG
3654,St Joseph's Catholic Primary School,Prim,http://www.sjnmrok.catholic.edu.au,QLD,sjnm@rok.catholic.edu.au,"(07) 4957 3355, 07 4957 3355",NG
3655,St Joseph's Catholic Primary School,Prim,http://www.sjwlrok.catholic.edu.au/,QLD,sjwl@rok.catholic.edu.au,(07) 4994 8230,NG
3656,St Joseph's Catholic Primary School,Prim,https://stjrosebery.syd.catholic.edu.au/,NSW,info@stjrosebery.catholic.edu.au,"018 02 9184 6630, 02 9184 6630, 2023 2024 2025, 2026 2027 2028",NG
3657,St Joseph's Catholic Primary School Blayney,Prim,http://stjosephsblayney.catholic.edu.au,NSW,stjosephsblayney@bth.catholic.edu.au,02 6368 2243,NG
3658,St Joseph's Catholic Primary School Como - Oyster Bay,Prim,https://stjcomo.syd.catholic.edu.au,NSW,"info@stjcomo.catholic.edu.au, stjoscomo@bigpond.com","(02) 9528 0205, (02) 9528 8716, 226 (02) 9528 8716",NG
3659,St Joseph's Catholic Primary School Eugowra,Prim,http://www.stjosephseugowra.catholic.edu.au/,NSW,stjosephseugowra@bth.catholic.edu.au,02 6859 2485,NG
3660,St Joseph's Catholic Primary School Manildra,Prim,http://www.stjosephsmanildra.catholic.edu.au/,NSW,stjosephsmanildra@bth.catholic.edu.au,02 63 645 177,NG
3661,St Joseph's Catholic Primary School Molong,Prim,http://www.stjosephsmolong.catholic.edu.au/,NSW,stjosephsmolong@bth.catholic.edu.au,02 6366 8306,NG
3662,St Joseph's Catholic Primary School Portland,Prim,http://www.stjosephsportland.catholic.edu.au/,NSW,stjosephportland@bth.catholic.edu.au,02 6355 5111,NG
3663,St Joseph's Catholic School,Prim,http://www.stjosephsq.tas.edu.au,TAS,stjosephsq@catholic.tas.edu.au,03 6471 1139,NG
3664,St Joseph's College,Sec,http://www.stjosephs.com.au,VIC,info@stjosephs.com.au,03 9758 2000,NG
3665,St Joseph's College,Sec,http://www.sjc.qld.edu.au,QLD,office@sjc.qld.edu.au,"(07) 4631 8500, 88 934 244 646",NG
3666,St Joseph's College,Pri/Sec,http://www.terrace.qld.edu.au,QLD,office@terrace.qld.edu.au,#ERROR!,NG
3667,St Joseph's College,Sec,http://www.joeys.org/,NSW,sjc@joeys.org,2 9816 0900,NG
3668,St Joseph's College,Sec,http://www.lochinvarsj.catholic.edu.au/,NSW,admin@lochinvarsj.catholic.edu.au,(02) 4930 7291,NG
3669,St Joseph's College - Brigidine Campus,Sec,http://www.sje.vic.edu.au,VIC,enquiry@sje.vic.edu.au,"03 5469 0354, 03 5480 6427, 03 5482 2577",NG
3670,St Joseph's Nudgee College,Pri/Sec,http://www.nudgee.com,QLD,contact@nudgee.com,07 3865 0555,NG
3671,St Joseph's Parish School,Prim,http://www.wf.catholic.edu.au/schools/peakhill/,NSW,admin.peakhill@wf.catholic.edu.au,"(02) 6869 1452, 157-163, 869 (02) 6869 1452",NG
3672,St Joseph's Parish School,Prim,https://www.stjosephsweipa.qld.edu.au/,QLD,secretary.weipa@cns.catholic.edu.au,07 4214 6600,NG
3673,St Joseph's Primary School,Prim,http://web.sjcuww.catholic.edu.au/,NSW,sjcu-info@ww.catholic.edu.au,"(02) 6029 8577, (02) 6921 2996, (02) 6937 0000",NG
3674,St Joseph's Primary School,Prim,http://web.sjjeww.catholic.edu.au,NSW,sjje-info@ww.catholic.edu.au,"(02) 6921 2996, (02) 6937 0000, (03) 5886 1475",NG
3675,St Joseph's Primary School,Prim,https://www.sjjww.org/,NSW,sjju-info@ww.catholic.edu.au,"(02) 6924 1717, 02 6924 1717",NG
3676,St Joseph's Primary School,Prim,http://web.sjloww.catholic.edu.au/,NSW,sjlo-info@ww.catholic.edu.au,(02) 6920 5437,NG
3677,St Joseph's Primary School,Prim,http://stjosephsquirindi.catholic.edu.au/,NSW,quiadmin@arm.catholic.edu.au,(02) 6746 1033,NG
3678,St Joseph's Primary School,Prim,https://stjosephstenterfield.catholic.edu.au/,NSW,tenadmin@arm.catholic.edu.au,(02) 6736 1786,NG
3679,St Joseph's Primary School,Prim,http://www.arm.catholic.edu.au/schools/uralla,NSW,cso@arm.catholic.edu.au,(02) 6772 7388,NG
3680,St Joseph's Primary School,Prim,http://www.stjosephsgleninnes.catholic.edu.au,NSW,gleadmin@arm.catholic.edu.au,(02) 6732 1372,NG
3681,St Joseph's Primary School,Prim,https://stjosephsmungindi.catholic.edu.au/,NSW,munadmin@arm.catholic.edu.au,(02) 6753 2327,NG
3682,St Joseph's Primary School,Prim,https://stjosephstamworth.catholic.edu.au/,NSW,sjtadmin@arm.catholic.edu.au,(02) 6765 4079,NG
3683,St Joseph's Primary School,Prim,http://www.arm.catholic.edu.au/schools/walgett,NSW,cso@arm.catholic.edu.au,(02) 6772 7388,NG
3684,St Joseph's Primary School,Prim,https://stjosephswarialda.catholic.edu.au/,NSW,waradmin@arm.catholic.edu.au,(02) 6729 1328,NG
3685,St Joseph's Primary School,Prim,http://www.stjosephsweewaa.catholic.edu.au,NSW,weeadmin@arm.catholic.edu.au,(02) 6795 4038,NG
3686,St Joseph's Primary School,Prim,http://www.arm.catholic.edu.au/schools/barraba,NSW,cso@arm.catholic.edu.au,(02) 6772 7388,NG
3687,St Joseph's Primary School,Prim,http://www.wauplism.catholic.edu.au,NSW,waup@lism.catholic.edu.au,02 6585 1745,NG
3688,St Joseph's Primary School,Prim,http://www.pmacjlism.catholic.edu.au,NSW,sjpport@lism.catholic.edu.au,02 6583 3848,NG
3689,St Joseph's Primary School,Prim,https://www.smurplism.catholic.edu.au/,NSW,smurp@lism.catholic.edu.au,02 6672 1867,NG
3690,St Joseph's Primary School,Prim,http://www.crkilism.catholic.edu.au,NSW,crki@lism.catholic.edu.au,02 6683 2248,NG
3691,St Joseph's Primary School,Prim,http://www.maclplism.catholic.edu.au/,NSW,maclp@lism.catholic.edu.au,02 6645 2340,NG
3692,St Joseph's Primary School,Prim,http://www.larplism.catholic.edu.au,NSW,larp@lism.catholic.edu.au,02 6559 9466,NG
3693,St Joseph's Primary School,Prim,https://www.kmpplism.catholic.edu.au/,NSW,kmpp@lism.catholic.edu.au,02 6562 5501,NG
3694,St Joseph's Primary School,Prim,http://merewether.catholic.edu.au,NSW,admin@merewether.catholic.edu.au,02 4961 2827,NG
3695,St Joseph's Primary School,Prim,http://charlestown.catholic.edu.au,NSW,admin@charlestown.catholic.edu.au,"(02) 4942 3218, (02) 4943 5414",NG
3696,St Joseph's Primary School,Prim,http://tareesj.catholic.edu.au,NSW,admin@tareesj.catholic.edu.au,6557 7031,NG
3697,St Joseph's Primary School,Prim,http://www.alstplism.catholic.edu.au,NSW,alstp@lism.catholic.edu.au,02 6628 1009,NG
3698,St Joseph's Primary School,Prim,http://www.sjglb.nsw.edu.au,NSW,office.sjglb@cg.catholic.edu.au,"02 4821 3510, 60 675 797 734",NG
3699,St Joseph's Primary School,Prim,http://www.sjo.act.edu.au,ACT,amy.doszpot@cg.catholic.edu.au,60 675 797 734,NG
3700,St Joseph's Primary School,Prim,http://www.sjboronia.catholic.edu.au,VIC,office@sjboronia.catholic.edu.au,(03) 9762 3275,NG
3701,St Joseph's Regional College,Sec,http://www.pmreglism.catholic.edu.au/,NSW,sjrhport@lism.catholic.edu.au,02 5525 4100,NG
3702,St Joseph's School,Prim,http://www.stjoeys.qld.edu.au/,QLD,secretary.atherton@cns.catholic.edu.au,"07 4095 9000, 42 498 340 094",NG
3703,St Joseph's School,Prim,http://www.stjosephscairns.qld.edu.au,QLD,secretary.parramatta@cns.catholic.edu.au,(07) 4038 5100,NG
3704,St Joseph's School,Prim,http://www.chinchilla.catholic.edu.au,QLD,chinchilla@twb.catholic.edu.au,07 4662 7850,NG
3705,St Joseph's School,Prim,http://www.millmerran.catholic.edu.au,QLD,millmerran@twb.catholic.edu.au,(07) 46953600,NG
3706,St Joseph's School,Prim,https://www.twb.catholic.edu.au/our-schools/primary-schools/tara/st-josephs-primary-school/,QLD,"enquiries@twb.catholic.edu.au, tara@twb.catholic.edu.au","(07) 4665 3259, 07 4637 1400",NG
3707,St Joseph's School,Prim,http://www.sjyarrajunction.catholic.edu.au,VIC,principal@sjyarrajunction.catholic.edu.au,03 5967 1183,NG
3708,St Joseph's School,Prim,http://www.sjspringvale.catholic.edu.au,VIC,office@sjspringvale.catholic.edu.au,9546 8223,NG
3709,St Joseph's School,Prim,http://www.sjsorrento.catholic.edu.au,VIC,office@sjsorrento.catholic.edu.au,(03) 5984 1291,NG
3710,St Joseph's School,Prim,http://www.sjcribpoint.catholic.edu.au,VIC,principal@sjcribpoint.catholic.edu.au,"03 5983 6081, 03 5983 9374",NG
3711,St Joseph's School,Prim,http://www.sjelst.catholic.edu.au,VIC,principal@sjelst.catholic.edu.au,03 9528 1614,NG
3712,St Joseph's School,Prim,http://www.sjrochester.catholic.edu.au/,VIC,admin@sjrochester.catholic.edu.au,5484 1797,NG
3713,St Joseph's School,Prim,http://www.sjbeechworth.catholic.edu.au,VIC,principal@sjbeechworth.catholic.edu.au,03 5728 1243,NG
3714,St Joseph's School,Prim,http://www.sjquarryhill.catholic.edu.au,VIC,office@sjquarryhill.catholic.edu.au,"(03) 5443 2108, 20252026, 2026 2026",NG
3715,St Joseph's School,Prim,http://www.sjbwickw.catholic.edu.au,VIC,info@sjbwickw.catholic.edu.au,(03) 9385 9800,NG
3716,St Joseph's School,Prim,http://www.stjorbost.catholic.edu.au,VIC,principal@stjorbost.catholic.edu.au,"(03) 5154 1289, 29 140 710 293",NG
3717,St Joseph's School,Prim,http://www.sjchelsea.catholic.edu.au,VIC,info@sjchelsea.catholic.edu.au,(03) 8773 1111,NG
3718,St Joseph's School,Prim,http://www.sjnagambie.catholic.edu.au,VIC,mail@gemini-theme.com,001 0231 123,NG
3719,St Joseph's School,Prim,http://www.sjkerang.catholic.edu.au,VIC,admin@sjkerang.catholic.edu.au,"(03)54521426, 3 5452 1426",NG
3720,St Joseph's School,Prim,http://www.sjkorumburra.catholic.edu.au,VIC,principal@sjkorumburra.catholic.edu.au,03 5655 2040,NG
3721,St Joseph's School,Prim,http://www.sjmalvern.catholic.edu.au,VIC,office@sjmalvern.catholic.edu.au,(03) 9597 6300,NG
3722,St Joseph's School,Prim,https://www.sjbenalla.catholic.edu.au/,VIC,principal@sjbenalla.catholic.edu.au,(03) 5762 1347,NG
3723,St Joseph's School,Prim,http://www.sjcharlton.catholic.edu.au,VIC,admin@sjcharlton.catholic.edu.au,"(03) 5491Â 1343, 03 5491 1343",NG
3724,St Joseph's School,Prim,http://www.sjnumurkah.catholic.edu.au,VIC,parnel@sjnumurkah.catholic.edu.au,"(03) 5862 1804, (03) 5862 2768",NG
3725,St Joseph's School,Prim,http://www.sjcollingwood.catholic.edu.au,VIC,office@sjcollingwood.catholic.edu.au,"03 9419 4918 0428, 542 965",NG
3726,St Joseph's School,Prim,http://www.sjhawthorn.catholic.edu.au,VIC,principal@sjhawthorn.catholic.edu.au,"0398187570, 0398190734",NG
3727,St Joseph's School,Prim,http://www.sjnorthcote.catholic.edu.au,VIC,principal@sjnorthcote.catholic.edu.au,9481 7166,NG
3728,St Joseph's School,Prim,http://www.stjoknx.wa.edu.au,WA,admin@stjoknx.wa.edu.au,(08) 9168 1079,NG
3729,St Joseph's School,Prim,http://www.sjsmoora.wa.edu.au,WA,admin@sjsmoora.wa.edu.au,(08) 9690 8888,NG
3730,St Joseph's School,Prim,http://www.sjsqp.wa.edu.au,WA,"admin.sjsqp@cewa.edu.au, parish@norbert.wa.edu.au","(08) 9251 0500, (08) 9458 2729",NG
3731,St Joseph's School,Prim,http://www.stjoespemberton.wa.edu.au,WA,admin@stj.wa.edu.au,(08) 9776 1180,NG
3732,St Joseph's School,Prim,http://www.stjoeswaroona.wa.edu.au,WA,admin@stjoeswaroona.wa.edu.au,(08) 9782 6500,NG
3733,St Joseph's School,Prim,http://www.sjwyndham.wa.edu.au,WA,anni.schelfhout@cewa.edu.au,08 9161 1021,NG
3734,St Joseph's School,Prim,https://www.stjotto.catholic.edu.au/,SA,info@stjotto.catholic.edu.au,08 8415 1100,NG
3735,St Joseph's School,Prim,http://www.sjh.catholic.edu.au,SA,info@sjh.catholic.edu.au,"(08) 8115 7700, 073 08 8115 7700, 08 8115 7750",NG
3736,St Joseph's School,Pri/Sec,http://www.sjspl.catholic.edu.au,SA,info@sjspl.catholic.edu.au,(08) 8683 2400,NG
3737,St Jude the Apostle School,Prim,http://www.sjscoresby.catholic.edu.au,VIC,office@sjscoresby.catholic.edu.au,03 8761 9600,NG
3738,St Jude's Catholic School,Prim,http://www.stjudes.wa.edu.au,WA,admin@stjudes.wa.edu.au,"(08) 6350 2500, (08)Â 6350Â 2500",NG
3739,St Justin's Catholic Primary School,Prim,http://www.sjopdow.catholic.edu.au,NSW,info@sjopdow.catholic.edu.au,(02) 4631 5200,NG
3740,St Justin's School,Prim,http://www.sjwheelershill.catholic.edu.au,VIC,office@sjwheelershill.catholic.edu.au,"(03) 9561 7644, 9561 7644",NG
3741,St Kevin's Catholic Primary School,Prim,https://stkeastwood.syd.catholic.edu.au,NSW,"info@stkeastwood.catholic.edu.au, parish@stkevinseastwood.org.au","(02) 9874 2533, (02) 9874 3315, 122 (02) 9874 3315",NG
3742,St Kevin's Catholic Primary School,Prim,http://www.skdydbb.catholic.edu.au,NSW,skdy@dbb.catholic.edu.au,02 7256 2117,NG
3743,St Kevin's Primary School,Prim,http://cardiff.catholic.edu.au,NSW,admin@cardiff.catholic.edu.au,02 4954 0036,NG
3744,St Kevin's School,Prim,http://www.sktemplestowelr.catholic.edu.au,VIC,principal@sktemplestowelr.catholic.edu.au,9273 9999,NG
3745,St Kevin's School,Prim,http://www.skhamptonpark.catholic.edu.au,VIC,principal@skhamptonpark.catholic.edu.au,(03) 9709 8600,NG
3746,St Kieran's Catholic Primary School,Prim,http://www.skmvdbb.catholic.edu.au,NSW,skmv@dbb.catholic.edu.au,(02) 7256 2131,NG
3747,St Kilda Park Primary School,Prim,http://www.skipps.vic.edu.au,VIC,st.kilda.park.ps@education.vic.gov.au,(03) 8598 6444,Gov
3748,St Kilda Primary School,Prim,http://www.stkildaps.vic.edu.au,VIC,st.kilda.ps@education.vic.gov.au,03 9534 3993,Gov
3749,St Laurence's Catholic Primary School Dubbo,Prim,https://www.stlaurences.catholic.edu.au/,NSW,stlaurencesdubbo@bth.catholic.edu.au,02 6882 2129,NG
3750,St Lawrence Catholic Primary School,Prim,http://www.slwderrimut.catholic.edu.au,VIC,info@slwderrimut.catholic.edu.au,(03) 8390 5326,NG
3751,St Lawrence of Brindisi CatholicÂ Primary School,Prim,https://www.slweirviews.catholic.edu.au,VIC,office@slweirviews.catholic.edu.au,(03) 8099 6699,NG
3752,St Lawrence's Catholic Primary School Coonabarabran,Prim,https://www.stlawriescoona.catholic.edu.au/,NSW,stlawrencescoona@bth.catholic.edu.au,02 6842 1732,NG
3753,St Lawrence's Primary School,Prim,http://www.stlps.wa.edu.au,WA,admin@stlps.wa.edu.au,"(08) 9923 2018, (08) 9968 2000",NG
3754,St Leo the Great Primary School,Prim,http://www.slaltonanth.catholic.edu.au,VIC,office@slaltonanth.catholic.edu.au,93915522,NG
3755,St Leonards Primary School,Prim,http://www.stleonardsps.vic.edu.au,VIC,st.leonards.ps@education.vic.gov.au,(03) 5257 1460,Gov
3756,St Leonard's School,Prim,http://www.leonardsgwav.catholic.edu.au,VIC,info@leonardsgwav.catholic.edu.au,"(03) 9560 8491, (03) 9561 9359, 2025 2024",NG
3757,St Louis de Montfort's School,Prim,http://www.stlouisaspendale.catholic.edu.au,VIC,"aspendale@cam.org.au, office@stlouisaspendale.com, principal@stlouisaspendale.com","(03) 9580 5169, (03) 9580 7981, (03) 9587 6264",NG
3758,St Luke the Evangelist School,Prim,http://www.slblackburnsth.catholic.edu.au,VIC,schooloffice@slblackburnsth.catholic.edu.au,130 03 9877 4023,NG
3759,St Luke's Arrunga,Special,https://www.stlukesmarsdenpark.catholic.edu.au/arrunga,NSW,studentservicesadmin@parra.catholic.edu.au,0407 233 622,NG
3760,St Luke's Catholic Primary School,Prim,http://www.stlukeswoodvale.wa.edu.au,WA,admin@stlukeswoodvale.wa.edu.au,(08) 9306 6600,NG
3761,St Luke's Catholic Primary School,Prim,https://stlrevesby.syd.catholic.edu.au,NSW,"info@stlrevesby.catholic.edu.au, stlrevesby@hotmail.com","(02) 9773 5930, (02) 9773 9065, 212 (02) 9773 5930",NG
3762,St Luke's College,Sec,http://www.stlukescollege.wa.edu.au,WA,admin@stlukescollege.wa.edu.au,(08) 9144 1081,NG
3763,St Luke's School,Prim,http://www.slwantirna.catholic.edu.au,VIC,info@slwantirna.catholic.edu.au,"(03 9801 6917, 9801 6917",NG
3764,St Luke's School,Prim,http://www.stlukelr.catholic.edu.au,VIC,principal@stlukelr.catholic.edu.au,"(03) 9465 2099, (03) 9465 2236, (03) 9466 4575, 075 (03) 9465 2099",NG
3765,St Macartan's School,Prim,http://www.smmornington.catholic.edu.au,VIC,office@smmornington.catholic.edu.au,"(03) 5979 9200, (03) 5979 9205",NG
3766,St Malachy's School,Prim,http://www.smedenhope.catholic.edu.au,VIC,admin@smedenhope.catholic.edu.au,(03) 5585 1396,NG
3767,St Margaret Mary's Catholic Primary School,Prim,https://stmmrandwick.syd.catholic.edu.au,NSW,"info@stmmrandwick.catholic.edu.au, parishoffice@sacredheart.org.au","(02) 9398 6093, (02) 9399 6775, 031 (02) 9398 6093",NG
3768,St Margaret Mary's School,Prim,http://www.smmbrunswicknth.catholic.edu.au,VIC,principal@smmbrunswicknth.catholic.edu.au,"0393836699, 9383 6699",NG
3769,St Margaret's Primary School,Prim,http://www.smmaribyrnong.catholic.edu.au,VIC,officeadmin1@smmaribyrnong.catholic.edu.au,9318-1339,NG
3770,St Margaret's School,Prim,http://www.smgeelongeast.catholic.edu.au,VIC,principal@smgeelongeast.com.au,219 03 5229 7453,NG
3771,St Maria Goretti School,Prim,https://www.twb.catholic.edu.au/our-schools/primary-schools/inglewood/st-maria-goretti-primary-school/,QLD,"Inglewood@twb.catholic.edu.au, enquiries@twb.catholic.edu.au","07 4637 1400, 07 4652 1109",NG
3772,St Maria Goretti's Catholic School,Prim,https://www.smg.wa.edu.au/,WA,admin@smg.wa.edu.au,8Â 62792000,NG
3773,St Mark's Catholic Primary School,Prim,https://stmdrummoyne.syd.catholic.edu.au,NSW,info@stmdrummoyne.catholic.edu.au,"(02) 9181 3042, 047 (02) 9181 3042",NG
3774,St Mark's Coptic Orthodox College,Pri/Sec,http://www.stmarks.nsw.edu.au,NSW,office@stmarks.nsw.edu.au,"(02) 9825-6489, (02) 9825-6768, 02 9825-6489, 02 9825-6768, 64 796 481 099",NG
3775,St Mark's School,Prim,http://www.smfawkner.catholic.edu.au,VIC,principal@smfawkner.catholic.edu.au,383354100,NG
3776,St Mark's School,Prim,http://www.smdingley.catholic.edu.au,VIC,office@smdingley.catholic.edu.au,(03) 9262 2000,NG
3777,St Maroun's College,Pri/Sec,http://www.stmarouns.nsw.edu.au,NSW,info@stmarouns.nsw.edu.au,#ERROR!,NG
3778,St Martha's Catholic Primary School,Prim,https://stmstrathfield.syd.catholic.edu.au,NSW,"admin@stmarthas.org.au, info@stmstrathfield.catholic.edu.au","(02) 9746 6131, (02) 9764 1184, 135 (02) 9764 1184",NG
3779,St Martin de Porres School,Prim,http://www.smavondaleheights.catholic.edu.au,VIC,principal@smavondaleheights.catholic.edu.au,"03 9331 9000, 03 9337 1919",NG
3780,St Martin de Porres School,Special,https://www.smdp.wa.edu.au/,WA,StMartinAdmin@cewa.edu.au,(08) 9195 4200,NG
3781,St Martin of Tours School,Prim,http://www.smrosanna.catholic.edu.au,VIC,principal@smrosanna.catholic.edu.au,(03) 8458 7500,NG
3782,St Martin's Catholic Primary School,Prim,http://www.smddbb.catholic.edu.au,NSW,smd@dbb.catholic.edu.au,(02) 7256 2107,NG
3783,St Mary - St Joseph Catholic Primary School,Prim,https://smsjmaroubra.syd.catholic.edu.au,NSW,"admin@smsj.org.au, info@smsjmaroubra.catholic.edu.au","(02) 9314 0195, (02) 9349 2793, 035 (02) 9314 0195",NG
3784,St Mary and St Mina's Coptic Orthodox College,Prim,http://www.stmary.nsw.edu.au,NSW,office@stmary.nsw.edu.au,"02 9597 4833, 02 9597 4922, 02 9599 1155, 02 9599 1165, 2 9597-4833, 2 9599-1155, 339-377, 785135991",NG
